dates;prices
2023-01-11;324.2165005128205
2023-03-11;331.86748159466595
2022-04-11;420.45748797163844
2022-05-11;399.7768498737619
2022-06-11;329.5489425587468
2023-06-11;242.35631419939577
2022-07-11;309.70146455436515
2022-08-11;262.9324139503077
2022-09-11;330.0340547748487
2022-10-11;340.64437378192633
2022-11-11;300.0024197353575
