date;median
04-11-2022;402.0
05-11-2022;370.0
06-11-2022;299.0
07-11-2022;288.0
08-11-2022;232.0
09-11-2022;306.0
10-11-2022;326.0
11-11-2022;278.0
12-11-2022;242.0
01-11-2023;312.0
02-11-2023;298.0
03-11-2023;322.0
04-11-2023;303.0
05-11-2023;303.0
06-11-2023;215.0
