name;grade;stars;prices;address;gps;start_date;end_date;link
The Pop Art Suite;;;4;16e arr., Paris;[6.1337777, 1.2259398];06-11-2022;07-01-2022;https://www.booking.com/hotel/fr/the-pop-art-suite.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Arf4yJEGwAIB0gIkNmMwYWYwNGUtNGY3Ni00ZTk3LThjOGUtZWQ0OTEwMDZkZGMw2AIG4AIB&sid=bb8632fca78bbfe9f9203ec71049535c&aid=304142&ucfs=1&arphpl=1&checkin=2022-06-11&checkout=2022-07-01&dest_id=-1456928&dest_type=city&group_adults=2&req_adults=2&no_rooms=2&group_children=2&req_children=2&age=5&req_age=5&age=9&req_age=9&hpos=1&hapos=1&sr_order=popularity&srpvid=79a28b07d28a020d&srepoch=1648583184&all_sr_blocks=825087602_346809330_4_0_0&highlighted_blocks=825087602_346809330_4_0_0&matching_block_id=825087602_346809330_4_0_0&sr_pri_blocks=825087602_346809330_4_0_0__453900&from=searchresults#hotelTmpl
Edgar Suites Expo Paris Porte de Versailles;9,1;;4;15e arr., Paris;;06-11-2022;07-01-2022;https://www.booking.com/hotel/fr/edgar-suites-expo-paris-porte-de-versailles.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Arf4yJEGwAIB0gIkNmMwYWYwNGUtNGY3Ni00ZTk3LThjOGUtZWQ0OTEwMDZkZGMw2AIG4AIB&sid=bb8632fca78bbfe9f9203ec71049535c&aid=304142&ucfs=1&arphpl=1&checkin=2022-06-11&checkout=2022-07-01&dest_id=-1456928&dest_type=city&group_adults=2&req_adults=2&no_rooms=2&group_children=2&req_children=2&age=5&req_age=5&age=9&req_age=9&hpos=2&hapos=2&sr_order=popularity&srpvid=79a28b07d28a020d&srepoch=1648583184&all_sr_blocks=324030807_273459741_0_0_0&highlighted_blocks=324030807_273459741_0_0_0&matching_block_id=324030807_273459741_0_0_0&sr_pri_blocks=324030807_273459741_0_0_0__446440&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Aparthotel Adagio Paris Buttes Chaumont;8,0;3.0;4;19e arr., Paris;;06-11-2022;07-01-2022;https://www.booking.com/hotel/fr/pvbutteschaumont.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Arf4yJEGwAIB0gIkNmMwYWYwNGUtNGY3Ni00ZTk3LThjOGUtZWQ0OTEwMDZkZGMw2AIG4AIB&sid=bb8632fca78bbfe9f9203ec71049535c&aid=304142&ucfs=1&arphpl=1&checkin=2022-06-11&checkout=2022-07-01&dest_id=-1456928&dest_type=city&group_adults=2&req_adults=2&no_rooms=2&group_children=2&req_children=2&age=5&req_age=5&age=9&req_age=9&hpos=3&hapos=3&sr_order=popularity&srpvid=79a28b07d28a020d&srepoch=1648583184&all_sr_blocks=5178201_135824699_4_2_0&highlighted_blocks=5178201_135824699_4_2_0&matching_block_id=5178201_135824699_4_2_0&sr_pri_blocks=5178201_135824699_4_2_0__484640&from=searchresults#hotelTmpl
Apartment Opéra / Galeries Lafayette;7,6;;6;8e arr., Paris;;06-11-2022;07-01-2022;https://www.booking.com/hotel/fr/saint-lazare-terrasse-4.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Arf4yJEGwAIB0gIkNmMwYWYwNGUtNGY3Ni00ZTk3LThjOGUtZWQ0OTEwMDZkZGMw2AIG4AIB&sid=bb8632fca78bbfe9f9203ec71049535c&aid=304142&ucfs=1&arphpl=1&checkin=2022-06-11&checkout=2022-07-01&dest_id=-1456928&dest_type=city&group_adults=2&req_adults=2&no_rooms=2&group_children=2&req_children=2&age=5&req_age=5&age=9&req_age=9&hpos=4&hapos=4&sr_order=popularity&srpvid=79a28b07d28a020d&srepoch=1648583184&all_sr_blocks=379860902_344006230_4_0_0&highlighted_blocks=379860902_344006230_4_0_0&matching_block_id=379860902_344006230_4_0_0&sr_pri_blocks=379860902_344006230_4_0_0__664100&from=searchresults#hotelTmpl
Citadines Didot Montparnasse;7,8;3.0;3;14e arr., Paris;;06-11-2022;07-01-2022;https://www.booking.com/hotel/fr/citadines-aparthotel-didotalesia.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Arf4yJEGwAIB0gIkNmMwYWYwNGUtNGY3Ni00ZTk3LThjOGUtZWQ0OTEwMDZkZGMw2AIG4AIB&sid=bb8632fca78bbfe9f9203ec71049535c&aid=304142&ucfs=1&arphpl=1&checkin=2022-06-11&checkout=2022-07-01&dest_id=-1456928&dest_type=city&group_adults=2&req_adults=2&no_rooms=2&group_children=2&req_children=2&age=5&req_age=5&age=9&req_age=9&hpos=5&hapos=5&sr_order=popularity&srpvid=79a28b07d28a020d&srepoch=1648583184&all_sr_blocks=65780_204494229_4_2_0&highlighted_blocks=65780_204494229_4_2_0&matching_block_id=65780_204494229_4_2_0&sr_pri_blocks=65780_204494229_4_2_0__365740&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Residhome Paris Opéra;7,7;4.0;6;9e arr., Paris;;06-11-2022;07-01-2022;https://www.booking.com/hotel/fr/residhome-prestige-paris-opera.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Arf4yJEGwAIB0gIkNmMwYWYwNGUtNGY3Ni00ZTk3LThjOGUtZWQ0OTEwMDZkZGMw2AIG4AIB&sid=bb8632fca78bbfe9f9203ec71049535c&aid=304142&ucfs=1&arphpl=1&checkin=2022-06-11&checkout=2022-07-01&dest_id=-1456928&dest_type=city&group_adults=2&req_adults=2&no_rooms=2&group_children=2&req_children=2&age=5&req_age=5&age=9&req_age=9&hpos=6&hapos=6&sr_order=popularity&srpvid=79a28b07d28a020d&srepoch=1648583184&all_sr_blocks=5781904_262898919_4_2_0&highlighted_blocks=5781904_262898919_4_2_0&matching_block_id=5781904_262898919_4_2_0&sr_pri_blocks=5781904_262898919_4_2_0__690640&from=searchresults#hotelTmpl
Studio Bonne Nouvelle;7,0;;8;2e arr., Paris;;06-11-2022;07-01-2022;https://www.booking.com/hotel/fr/studio-bonne-nouvelle.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Arf4yJEGwAIB0gIkNmMwYWYwNGUtNGY3Ni00ZTk3LThjOGUtZWQ0OTEwMDZkZGMw2AIG4AIB&sid=bb8632fca78bbfe9f9203ec71049535c&aid=304142&ucfs=1&arphpl=1&checkin=2022-06-11&checkout=2022-07-01&dest_id=-1456928&dest_type=city&group_adults=2&req_adults=2&no_rooms=2&group_children=2&req_children=2&age=5&req_age=5&age=9&req_age=9&hpos=7&hapos=7&sr_order=popularity&srpvid=79a28b07d28a020d&srepoch=1648583184&all_sr_blocks=194457503_349036863_6_0_0&highlighted_blocks=194457503_349036863_6_0_0&matching_block_id=194457503_349036863_6_0_0&sr_pri_blocks=194457503_349036863_6_0_0__833040&from=searchresults#hotelTmpl
The Originals City, Hôtel Lecourbe, Paris Tour Eiffel (Inter-Hotel);7,8;3.0;6;15e arr., Paris;;06-11-2022;07-01-2022;https://www.booking.com/hotel/fr/inter-lecourbe.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Arf4yJEGwAIB0gIkNmMwYWYwNGUtNGY3Ni00ZTk3LThjOGUtZWQ0OTEwMDZkZGMw2AIG4AIB&sid=bb8632fca78bbfe9f9203ec71049535c&aid=304142&ucfs=1&arphpl=1&checkin=2022-06-11&checkout=2022-07-01&dest_id=-1456928&dest_type=city&group_adults=2&req_adults=2&no_rooms=2&group_children=2&req_children=2&age=5&req_age=5&age=9&req_age=9&hpos=8&hapos=8&sr_order=popularity&srpvid=79a28b07d28a020d&srepoch=1648583184&all_sr_blocks=5463702_329574526_0_2_0%2C5463705_329574526_0_2_0&highlighted_blocks=5463702_329574526_0_2_0%2C5463705_329574526_0_2_0&matching_block_id=5463702_329574526_0_2_0&sr_pri_blocks=5463702_329574526_0_2_0__302120%2C5463705_329574526_0_2_0__338320&from=searchresults#hotelTmpl
Résidence Grands Boulevards (Chenier);7,0;;5;2e arr., Paris;;06-11-2022;07-01-2022;https://www.booking.com/hotel/fr/residence-grands-boulevards.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Arf4yJEGwAIB0gIkNmMwYWYwNGUtNGY3Ni00ZTk3LThjOGUtZWQ0OTEwMDZkZGMw2AIG4AIB&sid=bb8632fca78bbfe9f9203ec71049535c&aid=304142&ucfs=1&arphpl=1&checkin=2022-06-11&checkout=2022-07-01&dest_id=-1456928&dest_type=city&group_adults=2&req_adults=2&no_rooms=2&group_children=2&req_children=2&age=5&req_age=5&age=9&req_age=9&hpos=9&hapos=9&sr_order=popularity&srpvid=79a28b07d28a020d&srepoch=1648583184&all_sr_blocks=473081216_332548542_4_0_0&highlighted_blocks=473081216_332548542_4_0_0&matching_block_id=473081216_332548542_4_0_0&sr_pri_blocks=473081216_332548542_4_0_0__551971&from=searchresults#hotelTmpl
Blue Nights Apartments - Sébastopol;7,5;;3;3e arr., Paris;;06-11-2022;07-01-2022;https://www.booking.com/hotel/fr/blue-nights.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Arf4yJEGwAIB0gIkNmMwYWYwNGUtNGY3Ni00ZTk3LThjOGUtZWQ0OTEwMDZkZGMw2AIG4AIB&sid=bb8632fca78bbfe9f9203ec71049535c&aid=304142&ucfs=1&arphpl=1&checkin=2022-06-11&checkout=2022-07-01&dest_id=-1456928&dest_type=city&group_adults=2&req_adults=2&no_rooms=2&group_children=2&req_children=2&age=5&req_age=5&age=9&req_age=9&hpos=10&hapos=10&sr_order=popularity&srpvid=79a28b07d28a020d&srepoch=1648583184&all_sr_blocks=212008805_240923017_4_0_0&highlighted_blocks=212008805_240923017_4_0_0&matching_block_id=212008805_240923017_4_0_0&sr_pri_blocks=212008805_240923017_4_0_0__356980&from=searchresults#hotelTmpl
