name;grade;stars;prices;address;gps;start_date;end_date;link
Sweet Inn - Tardieu;7,5;;12;18e arr., Paris;;05-11-2022;06-01-2022;https://www.booking.com/hotel/fr/sweetinn-apartments-rue-tardieu.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Arf4yJEGwAIB0gIkNmMwYWYwNGUtNGY3Ni00ZTk3LThjOGUtZWQ0OTEwMDZkZGMw2AIG4AIB&sid=2efba555585b8432a91314209787aa19&aid=304142&ucfs=1&arphpl=1&checkin=2022-05-11&checkout=2022-06-01&dest_id=-1456928&dest_type=city&group_adults=2&req_adults=2&no_rooms=2&group_children=2&req_children=2&age=5&req_age=5&age=9&req_age=9&hpos=11&hapos=11&sr_order=popularity&srpvid=d1da8af4cada004d&srepoch=1648583147&all_sr_blocks=134348402_247254883_6_0_0&highlighted_blocks=134348402_247254883_6_0_0&matching_block_id=134348402_247254883_6_0_0&sr_pri_blocks=134348402_247254883_6_0_0__1252003&from=searchresults#hotelTmpl
Home Suite Home Grands Boulevard 52;3,0;;6;2e arr., Paris;;05-11-2022;06-01-2022;https://www.booking.com/hotel/fr/home-suite-home-grands-boulevard-52.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Arf4yJEGwAIB0gIkNmMwYWYwNGUtNGY3Ni00ZTk3LThjOGUtZWQ0OTEwMDZkZGMw2AIG4AIB&sid=2efba555585b8432a91314209787aa19&aid=304142&ucfs=1&arphpl=1&checkin=2022-05-11&checkout=2022-06-01&dest_id=-1456928&dest_type=city&group_adults=2&req_adults=2&no_rooms=2&group_children=2&req_children=2&age=5&req_age=5&age=9&req_age=9&hpos=12&hapos=12&sr_order=popularity&srpvid=d1da8af4cada004d&srepoch=1648583147&all_sr_blocks=802364301_341519247_4_0_0&highlighted_blocks=802364301_341519247_4_0_0&matching_block_id=802364301_341519247_4_0_0&sr_pri_blocks=802364301_341519247_4_0_0__604590&from=searchresults#hotelTmpl
MEININGER Hotel Paris Porte de Vincennes;8,2;;6;12e arr., Paris;;05-11-2022;06-01-2022;https://www.booking.com/hotel/fr/meininger-paris-porte-de-vincennes.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Arf4yJEGwAIB0gIkNmMwYWYwNGUtNGY3Ni00ZTk3LThjOGUtZWQ0OTEwMDZkZGMw2AIG4AIB&sid=2efba555585b8432a91314209787aa19&aid=304142&ucfs=1&arphpl=1&checkin=2022-05-11&checkout=2022-06-01&dest_id=-1456928&dest_type=city&group_adults=2&req_adults=2&no_rooms=2&group_children=2&req_children=2&age=5&req_age=5&age=9&req_age=9&hpos=13&hapos=13&sr_order=popularity&srpvid=d1da8af4cada004d&srepoch=1648583147&all_sr_blocks=516375702_179102182_0_2_0%2C516375702_179102182_0_2_0&highlighted_blocks=516375702_179102182_0_2_0%2C516375702_179102182_0_2_0&matching_block_id=516375702_179102182_0_2_0&sr_pri_blocks=516375702_179102182_0_2_0__328702%2C516375702_179102182_0_2_0__328702&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Hotel Royal Phare;8,5;;11;7e arr., Paris;;05-11-2022;06-01-2022;https://www.booking.com/hotel/fr/royal-phare.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Arf4yJEGwAIB0gIkNmMwYWYwNGUtNGY3Ni00ZTk3LThjOGUtZWQ0OTEwMDZkZGMw2AIG4AIB&sid=2efba555585b8432a91314209787aa19&aid=304142&ucfs=1&arphpl=1&checkin=2022-05-11&checkout=2022-06-01&dest_id=-1456928&dest_type=city&group_adults=2&req_adults=2&no_rooms=2&group_children=2&req_children=2&age=5&req_age=5&age=9&req_age=9&hpos=14&hapos=14&sr_order=popularity&srpvid=d1da8af4cada004d&srepoch=1648583147&all_sr_blocks=17181802_332771646_2_2_0%2C17181802_332771646_2_2_0&highlighted_blocks=17181802_332771646_2_2_0%2C17181802_332771646_2_2_0&matching_block_id=17181802_332771646_2_2_0&sr_pri_blocks=17181802_332771646_2_2_0__594396%2C17181802_332771646_2_2_0__594396&from=searchresults#hotelTmpl
Hotel Park Lane Paris;8,4;4.0;12;8e arr., Paris;;05-11-2022;06-01-2022;https://www.booking.com/hotel/fr/park-lane-paris.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Arf4yJEGwAIB0gIkNmMwYWYwNGUtNGY3Ni00ZTk3LThjOGUtZWQ0OTEwMDZkZGMw2AIG4AIB&sid=2efba555585b8432a91314209787aa19&aid=304142&ucfs=1&arphpl=1&checkin=2022-05-11&checkout=2022-06-01&dest_id=-1456928&dest_type=city&group_adults=2&req_adults=2&no_rooms=2&group_children=2&req_children=2&age=5&req_age=5&age=9&req_age=9&hpos=15&hapos=15&sr_order=popularity&srpvid=d1da8af4cada004d&srepoch=1648583147&all_sr_blocks=7691012_203332498_0_2_0%2C7691012_203332498_0_2_0&highlighted_blocks=7691012_203332498_0_2_0%2C7691012_203332498_0_2_0&matching_block_id=7691012_203332498_0_2_0&sr_pri_blocks=7691012_203332498_0_2_0__608096%2C7691012_203332498_0_2_0__608096&from=searchresults#hotelTmpl
Home Suite Home Charonne I;5,7;;4;11e arr., Paris;;05-11-2022;06-01-2022;https://www.booking.com/hotel/fr/home-suite-home-charonne-i.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Arf4yJEGwAIB0gIkNmMwYWYwNGUtNGY3Ni00ZTk3LThjOGUtZWQ0OTEwMDZkZGMw2AIG4AIB&sid=2efba555585b8432a91314209787aa19&aid=304142&ucfs=1&arphpl=1&checkin=2022-05-11&checkout=2022-06-01&dest_id=-1456928&dest_type=city&group_adults=2&req_adults=2&no_rooms=2&group_children=2&req_children=2&age=5&req_age=5&age=9&req_age=9&hpos=16&hapos=16&sr_order=popularity&srpvid=d1da8af4cada004d&srepoch=1648583147&all_sr_blocks=759228301_333040860_4_0_0&highlighted_blocks=759228301_333040860_4_0_0&matching_block_id=759228301_333040860_4_0_0&sr_pri_blocks=759228301_333040860_4_0_0__464557&from=searchresults#hotelTmpl
Home Suite Home Marais Arts&Métiers;6,7;;4;3e arr., Paris;;05-11-2022;06-01-2022;https://www.booking.com/hotel/fr/arts-metiers-marais-cosy-charming-apartment-4p.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Arf4yJEGwAIB0gIkNmMwYWYwNGUtNGY3Ni00ZTk3LThjOGUtZWQ0OTEwMDZkZGMw2AIG4AIB&sid=2efba555585b8432a91314209787aa19&aid=304142&ucfs=1&arphpl=1&checkin=2022-05-11&checkout=2022-06-01&dest_id=-1456928&dest_type=city&group_adults=2&req_adults=2&no_rooms=2&group_children=2&req_children=2&age=5&req_age=5&age=9&req_age=9&hpos=17&hapos=17&sr_order=popularity&srpvid=d1da8af4cada004d&srepoch=1648583147&all_sr_blocks=709180101_295754557_4_0_0&highlighted_blocks=709180101_295754557_4_0_0&matching_block_id=709180101_295754557_4_0_0&sr_pri_blocks=709180101_295754557_4_0_0__443026&from=searchresults#hotelTmpl
Sweet Inn - Temple;7,7;;17;3e arr., Paris;;05-11-2022;06-01-2022;https://www.booking.com/hotel/fr/sweet-inn-apartment-temple-3.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Arf4yJEGwAIB0gIkNmMwYWYwNGUtNGY3Ni00ZTk3LThjOGUtZWQ0OTEwMDZkZGMw2AIG4AIB&sid=2efba555585b8432a91314209787aa19&aid=304142&ucfs=1&arphpl=1&checkin=2022-05-11&checkout=2022-06-01&dest_id=-1456928&dest_type=city&group_adults=2&req_adults=2&no_rooms=2&group_children=2&req_children=2&age=5&req_age=5&age=9&req_age=9&hpos=18&hapos=18&sr_order=popularity&srpvid=d1da8af4cada004d&srepoch=1648583147&all_sr_blocks=183809401_247259403_5_0_0&highlighted_blocks=183809401_247259403_5_0_0&matching_block_id=183809401_247259403_5_0_0&sr_pri_blocks=183809401_247259403_5_0_0__1735445&from=searchresults#hotelTmpl
Home Suite Home Panthéon Port-Royal 1BR;7,7;;4;13e arr., Paris;;05-11-2022;06-01-2022;https://www.booking.com/hotel/fr/pantheon-port-royal-lovely-apartment-4p-1br.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Arf4yJEGwAIB0gIkNmMwYWYwNGUtNGY3Ni00ZTk3LThjOGUtZWQ0OTEwMDZkZGMw2AIG4AIB&sid=2efba555585b8432a91314209787aa19&aid=304142&ucfs=1&arphpl=1&checkin=2022-05-11&checkout=2022-06-01&dest_id=-1456928&dest_type=city&group_adults=2&req_adults=2&no_rooms=2&group_children=2&req_children=2&age=5&req_age=5&age=9&req_age=9&hpos=19&hapos=19&sr_order=popularity&srpvid=d1da8af4cada004d&srepoch=1648583147&all_sr_blocks=674328301_284509725_4_0_0&highlighted_blocks=674328301_284509725_4_0_0&matching_block_id=674328301_284509725_4_0_0&sr_pri_blocks=674328301_284509725_4_0_0__469565&from=searchresults#hotelTmpl
Bright apt near REPUBLIC;;;4;3e arr., Paris;;05-11-2022;06-01-2022;https://www.booking.com/hotel/fr/bright-apt-near-republic.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Arf4yJEGwAIB0gIkNmMwYWYwNGUtNGY3Ni00ZTk3LThjOGUtZWQ0OTEwMDZkZGMw2AIG4AIB&sid=2efba555585b8432a91314209787aa19&aid=304142&ucfs=1&arphpl=1&checkin=2022-05-11&checkout=2022-06-01&dest_id=-1456928&dest_type=city&group_adults=2&req_adults=2&no_rooms=2&group_children=2&req_children=2&age=5&req_age=5&age=9&req_age=9&hpos=20&hapos=20&sr_order=popularity&srpvid=d1da8af4cada004d&srepoch=1648583147&all_sr_blocks=784430902_337943369_4_0_0&highlighted_blocks=784430902_337943369_4_0_0&matching_block_id=784430902_337943369_4_0_0&sr_pri_blocks=784430902_337943369_4_0_0__456135&from=searchresults#hotelTmpl
