t,hotel_name,note,stars,price,address,localisation,link
10,Hôtel 34B - Astotel,"4,6",3.0,154 €,"34 Rue Bergere, Paris, Paris, 75009","[48.8727003, 2.3435855]",https://fr.hotels.com/ho194609/hotel-34b-astotel-paris-france/?chkin=2022-07-11&chkout=2022-07-12&x_pwa=1&rfrr=HSR&pwa_ts=1648290037927&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=553248635212953989&sort=RECOMMENDED&top_dp=154&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=7798&selectedRatePlan=7798&expediaPropertyId=18868
11,Grand Hotel Nouvel Opera,"3,3",3.0,89 €,"152 Avenue Ledru Rollin, Paris, Paris, 75011","[48.8553767, 2.3786616]",https://fr.hotels.com/ho135373/grand-hotel-nouvel-opera-paris-france/?chkin=2022-07-11&chkout=2022-07-12&x_pwa=1&rfrr=HSR&pwa_ts=1648290037929&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=553248635212953134&sort=RECOMMENDED&top_dp=89&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=200820374&selectedRatePlan=204125383&expediaPropertyId=64872
12,OKKO Hotels Paris Gare de l'Est,"4,6",4.0,119 €,"30 A rue d'Alsace, Paris, 75010","[48.8776445, 2.3581956]",https://fr.hotels.com/ho1100722624/okko-hotels-paris-gare-de-l-est-paris-france/?chkin=2022-07-11&chkout=2022-07-12&x_pwa=1&rfrr=HSR&pwa_ts=1648290037929&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=553248635212953155&sort=RECOMMENDED&top_dp=119&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=228629664&selectedRatePlan=264316311&expediaPropertyId=34366332
13,Timhotel Paris Gare de Lyon,"3,7",3.0,121 €,"3 Rue d'Austerlitz, Paris, Paris, 75012","[48.8468041, 2.370162]",https://fr.hotels.com/ho199594/timhotel-paris-gare-de-lyon-paris-france/?chkin=2022-07-11&chkout=2022-07-12&x_pwa=1&rfrr=HSR&pwa_ts=1648290037929&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=553248635212953907&sort=RECOMMENDED&top_dp=121&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=201505817&selectedRatePlan=207560852&expediaPropertyId=1098400
14,Acacia Hotel,"3,7",0,95 €,"30 bis avenue Parmentier, Paris, 75011","[48.8611455, 2.3778135]",https://fr.hotels.com/ho633071/acacia-hotel-paris-france/?chkin=2022-07-11&chkout=2022-07-12&x_pwa=1&rfrr=HSR&pwa_ts=1648290037931&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=553248635212953602&sort=RECOMMENDED&top_dp=95&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=201709405&selectedRatePlan=208580451&expediaPropertyId=16344343
15,23M Appartments,"4,0",0,122 €,"23 bis, rue des Messageries, Paris, 75010","[48.876137, 2.3508617]",https://fr.hotels.com/ho709699040/23m-appartments-paris-france/?chkin=2022-07-11&chkout=2022-07-12&x_pwa=1&rfrr=HSR&pwa_ts=1648290037930&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=553248635212953679&sort=RECOMMENDED&top_dp=122&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=202425536&selectedRatePlan=212336681&expediaPropertyId=22146845
16,Libertel Montmartre Opéra,"4,0",3.0,102 €,"32 Rue Duperré, Paris, Paris, 75009","[48.8820719, 2.334511]",https://fr.hotels.com/ho130479/libertel-montmartre-opera-paris-france/?chkin=2022-07-11&chkout=2022-07-12&x_pwa=1&rfrr=HSR&pwa_ts=1648290037929&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=553248635212957556&sort=RECOMMENDED&top_dp=102&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=315632453&selectedRatePlan=384183881&expediaPropertyId=3703
17,25hours Hotel Terminus Nord,"4,5",4.0,141 €,"12 Boulevard de Denain, Paris, Paris, 75010","[48.879657, 2.3549177]",https://fr.hotels.com/ho112786/25hours-hotel-paris-terminus-nord-paris-france/?chkin=2022-07-11&chkout=2022-07-12&x_pwa=1&rfrr=HSR&pwa_ts=1648290037931&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=553248635212953155&trackingData=AAAAEPSi1AACtQsLxujb9lb_9FKZArlZ1TOChlO9tjqijqtqZskPa12QX-lznc7w7huOaEaInI7CqdeOqQU6xKDDdUGHKN7sKUVlL9utJmsI2LrGbStqE3OtrXWy_HvGjzsy1HumCO1S1Ce7rtlZzdBUmVqxU2WVUqRhQX4tkRxXML9D8T8odCWlaPshau_AFYXwRbn2PhN-ZCDQTjGZOk1RzrWcnApMY4-QsDbm9ScmKadwlxcGgk5yqzJTAOBM9tvezqp8JedQFQIOvsUpymFsuT8e9_smMIIC-Fja6EO6ERN7ZJkWx5l53J9FOnqBcMLO2whkIQXInS2Vr_6bs8wNyR_D38Hgf7HV4xny5tQ8FhFQo0hM860vHem4lTZ0HV9jIGwpo0aXWw0KYb3-6WxDikklrVtqJZT4C1Dp9QMPQGy1dLlDZcvezX495uq-a890rfjiRXzKegHDESCq0MBQD5jbnDX6GZ7mD4HpBSCJrvIqTOE-ug6rEgKNMo6qXQle5DdxOxhKXRFWExgITUb_wvK9Ln5f-z0NEXBk1Y_bWg2Hl6JoHq8KE068fJZhSWz-ryrNG7L3JGHBF4LnpP6PKQBEIs1eDEAUYuKOv5ByO2FRcNU8RTwimIb7dJmPdavp-A9-AaRgG34tcSsScWzNN0FXijHlnppt7nnDxop0ml5mkRJR4XV6sxEb72sxOCFqnFkxSr8hiF5kIyDU2NaDqxQr65IuHcjuaQFKyLPnPm68MbQ3RIiyOntIpzndnhZSTbLquWdhIHmi_qax3vbc5kIDFg1KLib9xHXaASG3CIeXZNwypWyQf1T3UmOWT2nHUhM2vz6xQpiWEEcRv_csfprw8sAlZa09WVj502-hCcNWeMKeVp5pFLjn4T58RWkovfb5byb8Vv07ENLUo3Dtuuim0uI6RCtOxn0suMXCJIQwZkoKZREe4diKPYvc-Yvx845Gpbx_y6z3zjPgAOdpZx1bT1r1rftf5_Dj0K9zoQbaw0n1eo9t5Tc3IebWCmJOiQ%3D%3D&rank=5&testVersionOverride=Buttercup%2C31936.102311.0%2C33775.98848.1%2C38414.114301.0%2C40794.121819.2%2C38427.115718.1%2C42444.123988.0%2C42876.124673.0%2C42973.124182.1%2C42974.123984.1%2C42975.124629.0%2C42976.125426.1%2C42802.125960.1%2C33739.99567.0%2C37898.109354.0%2C37930.119094.0%2C43191.126721.1%2C43435.126644.0&slots=HSR_AC&position=18&beaconIssued=2022-03-26T10%3A20%3A34&sort=RECOMMENDED&top_dp=141&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=315826295&selectedRatePlan=384784568&expediaPropertyId=15940
18,Libertel Austerlitz Jardin des Plantes,"3,9",3.0,129 €,"12 Boulevard de l'Hopital, Paris, Paris, 75005","[48.8424292, 2.363216]",https://fr.hotels.com/ho127852/libertel-austerlitz-jardin-des-plantes-paris-france/?chkin=2022-07-11&chkout=2022-07-12&x_pwa=1&rfrr=HSR&pwa_ts=1648290037931&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=553248635212953069&sort=RECOMMENDED&top_dp=129&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=200680478&selectedRatePlan=203344942&expediaPropertyId=1262
19,ATN Hotel,"4,1",3.0,128 €,"21 rue d'Athenes, Paris, Paris, 75009","[48.8779191, 2.327903]",https://fr.hotels.com/ho228254/atn-hotel-paris-france/?chkin=2022-07-11&chkout=2022-07-12&x_pwa=1&rfrr=HSR&pwa_ts=1648290037931&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=553248635212957556&sort=RECOMMENDED&top_dp=128&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=201326917&selectedRatePlan=209998731&expediaPropertyId=973411
