name;grade;stars;prices;address;gps;link
ibis Budget Paris La Villette 19ème;7,3;2.0;235;19e arr., Paris;[6.1337777, 1.2259398];https://www.booking.com/hotel/fr/ibis-budget-paris-la-villette.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Arf4yJEGwAIB0gIkNmMwYWYwNGUtNGY3Ni00ZTk3LThjOGUtZWQ0OTEwMDZkZGMw2AIG4AIB&sid=fe583fd9d2072cf7f79296083ac9fb07&aid=304142&ucfs=1&arphpl=1&checkin=2022-05-11&checkout=2022-05-12&dest_id=-1456928&dest_type=city&group_adults=2&req_adults=2&no_rooms=2&group_children=2&req_children=2&age=5&req_age=5&age=9&req_age=9&hpos=11&hapos=11&sr_order=popularity&srpvid=f935a4236e88018a&srepoch=1648509639&all_sr_blocks=65707202_333879982_3_2_0%2C65707202_333879982_3_2_0&highlighted_blocks=65707202_333879982_3_2_0%2C65707202_333879982_3_2_0&matching_block_id=65707202_333879982_3_2_0&sr_pri_blocks=65707202_333879982_3_2_0__11739%2C65707202_333879982_3_2_0__11739&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
hotelF1 Paris Porte de Châtillon;7,3;;149;14e arr., Paris;[6.1337777, 1.2259398];https://www.booking.com/hotel/fr/hotelf1-paris-porte-de-chatillon-paris.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Arf4yJEGwAIB0gIkNmMwYWYwNGUtNGY3Ni00ZTk3LThjOGUtZWQ0OTEwMDZkZGMw2AIG4AIB&sid=fe583fd9d2072cf7f79296083ac9fb07&aid=304142&ucfs=1&arphpl=1&checkin=2022-05-11&checkout=2022-05-12&dest_id=-1456928&dest_type=city&group_adults=2&req_adults=2&no_rooms=2&group_children=2&req_children=2&age=5&req_age=5&age=9&req_age=9&hpos=12&hapos=12&sr_order=popularity&srpvid=f935a4236e88018a&srepoch=1648509639&all_sr_blocks=154996007_333878954_2_2_0%2C154996007_333878954_2_2_0&highlighted_blocks=154996007_333878954_2_2_0%2C154996007_333878954_2_2_0&matching_block_id=154996007_333878954_2_2_0&sr_pri_blocks=154996007_333878954_2_2_0__7463%2C154996007_333878954_2_2_0__7463&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Citadines Les Halles Paris;8,0;4.0;267;1er arr., Paris;[6.1337777, 1.2259398];https://www.booking.com/hotel/fr/citadines-aparthotel-les-halles.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Arf4yJEGwAIB0gIkNmMwYWYwNGUtNGY3Ni00ZTk3LThjOGUtZWQ0OTEwMDZkZGMw2AIG4AIB&sid=fe583fd9d2072cf7f79296083ac9fb07&aid=304142&ucfs=1&arphpl=1&checkin=2022-05-11&checkout=2022-05-12&dest_id=-1456928&dest_type=city&group_adults=2&req_adults=2&no_rooms=2&group_children=2&req_children=2&age=5&req_age=5&age=9&req_age=9&hpos=13&hapos=13&sr_order=popularity&srpvid=f935a4236e88018a&srepoch=1648509639&all_sr_blocks=22001302_204494193_4_2_0&highlighted_blocks=22001302_204494193_4_2_0&matching_block_id=22001302_204494193_4_2_0&sr_pri_blocks=22001302_204494193_4_2_0__26652&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
HotelHome Paris 16;8,6;;341;16e arr., Paris;[6.1337777, 1.2259398];https://www.booking.com/hotel/fr/residencejasmin.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Arf4yJEGwAIB0gIkNmMwYWYwNGUtNGY3Ni00ZTk3LThjOGUtZWQ0OTEwMDZkZGMw2AIG4AIB&sid=fe583fd9d2072cf7f79296083ac9fb07&aid=304142&ucfs=1&arphpl=1&checkin=2022-05-11&checkout=2022-05-12&dest_id=-1456928&dest_type=city&group_adults=2&req_adults=2&no_rooms=2&group_children=2&req_children=2&age=5&req_age=5&age=9&req_age=9&hpos=14&hapos=14&sr_order=popularity&srpvid=f935a4236e88018a&srepoch=1648509639&all_sr_blocks=5073607_122201553_0_0_0&highlighted_blocks=5073607_122201553_0_0_0&matching_block_id=5073607_122201553_0_0_0&sr_pri_blocks=5073607_122201553_0_0_0__34118&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
LE GRACIEUX - MILORA INN - Central Paris;7,9;;206;5e arr., Paris;[6.1868309, 1.1883102];https://www.booking.com/hotel/fr/le-gracieux-milora-inn.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Arf4yJEGwAIB0gIkNmMwYWYwNGUtNGY3Ni00ZTk3LThjOGUtZWQ0OTEwMDZkZGMw2AIG4AIB&sid=fe583fd9d2072cf7f79296083ac9fb07&aid=304142&ucfs=1&arphpl=1&checkin=2022-05-11&checkout=2022-05-12&dest_id=-1456928&dest_type=city&group_adults=2&req_adults=2&no_rooms=2&group_children=2&req_children=2&age=5&req_age=5&age=9&req_age=9&hpos=15&hapos=15&sr_order=popularity&srpvid=f935a4236e88018a&srepoch=1648509639&all_sr_blocks=736122101_327939615_4_0_0&highlighted_blocks=736122101_327939615_4_0_0&matching_block_id=736122101_327939615_4_0_0&sr_pri_blocks=736122101_327939615_4_0_0__20594&from=searchresults#hotelTmpl
Hotel Clément;8,5;2.0;311;6e arr., Paris;[6.1337777, 1.2259398];https://www.booking.com/hotel/fr/clement-paris.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Arf4yJEGwAIB0gIkNmMwYWYwNGUtNGY3Ni00ZTk3LThjOGUtZWQ0OTEwMDZkZGMw2AIG4AIB&sid=fe583fd9d2072cf7f79296083ac9fb07&aid=304142&ucfs=1&arphpl=1&checkin=2022-05-11&checkout=2022-05-12&dest_id=-1456928&dest_type=city&group_adults=2&req_adults=2&no_rooms=2&group_children=2&req_children=2&age=5&req_age=5&age=9&req_age=9&hpos=16&hapos=16&sr_order=popularity&srpvid=f935a4236e88018a&srepoch=1648509639&all_sr_blocks=185973107_278757161_0_2_0%2C185973107_278757161_0_2_0&highlighted_blocks=185973107_278757161_0_2_0%2C185973107_278757161_0_2_0&matching_block_id=185973107_278757161_0_2_0&sr_pri_blocks=185973107_278757161_0_2_0__15526%2C185973107_278757161_0_2_0__15526&from=searchresults#hotelTmpl
Citadines Saint-Germain-des-Prés Paris;8,3;4.0;317;6e arr., Paris;[6.1337777, 1.2259398];https://www.booking.com/hotel/fr/citadines-aparthotel-saint-germain-des-pres.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Arf4yJEGwAIB0gIkNmMwYWYwNGUtNGY3Ni00ZTk3LThjOGUtZWQ0OTEwMDZkZGMw2AIG4AIB&sid=fe583fd9d2072cf7f79296083ac9fb07&aid=304142&ucfs=1&arphpl=1&checkin=2022-05-11&checkout=2022-05-12&dest_id=-1456928&dest_type=city&group_adults=2&req_adults=2&no_rooms=2&group_children=2&req_children=2&age=5&req_age=5&age=9&req_age=9&hpos=17&hapos=17&sr_order=popularity&srpvid=f935a4236e88018a&srepoch=1648509639&all_sr_blocks=66849_204494138_4_2_0&highlighted_blocks=66849_204494138_4_2_0&matching_block_id=66849_204494138_4_2_0&sr_pri_blocks=66849_204494138_4_2_0__31662&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Hôtel Aiglon;8,7;4.0;470;14e arr., Paris;[6.1337777, 1.2259398];https://www.booking.com/hotel/fr/aiglon.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Arf4yJEGwAIB0gIkNmMwYWYwNGUtNGY3Ni00ZTk3LThjOGUtZWQ0OTEwMDZkZGMw2AIG4AIB&sid=fe583fd9d2072cf7f79296083ac9fb07&aid=304142&ucfs=1&arphpl=1&checkin=2022-05-11&checkout=2022-05-12&dest_id=-1456928&dest_type=city&group_adults=2&req_adults=2&no_rooms=2&group_children=2&req_children=2&age=5&req_age=5&age=9&req_age=9&hpos=18&hapos=18&sr_order=popularity&srpvid=f935a4236e88018a&srepoch=1648509639&all_sr_blocks=5432011_126780314_0_2_0%2C5432011_126780314_0_2_0&highlighted_blocks=5432011_126780314_0_2_0%2C5432011_126780314_0_2_0&matching_block_id=5432011_126780314_0_2_0&sr_pri_blocks=5432011_126780314_0_2_0__23476%2C5432011_126780314_0_2_0__23476&from=searchresults#hotelTmpl
La suite Paris Gare de Lyon - Bastille;8,2;4.0;227;12e arr., Paris;[6.1337777, 1.2259398];https://www.booking.com/hotel/fr/paris-boutik-suite-duplex-quot-l-39-epicerie-bastille-47-gare-de-lyon-quot.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Arf4yJEGwAIB0gIkNmMwYWYwNGUtNGY3Ni00ZTk3LThjOGUtZWQ0OTEwMDZkZGMw2AIG4AIB&sid=fe583fd9d2072cf7f79296083ac9fb07&aid=304142&ucfs=1&arphpl=1&checkin=2022-05-11&checkout=2022-05-12&dest_id=-1456928&dest_type=city&group_adults=2&req_adults=2&no_rooms=2&group_children=2&req_children=2&age=5&req_age=5&age=9&req_age=9&hpos=19&hapos=19&sr_order=popularity&srpvid=f935a4236e88018a&srepoch=1648509639&all_sr_blocks=231884901_266118073_3_0_549755813888&highlighted_blocks=231884901_266118073_3_0_549755813888&matching_block_id=231884901_266118073_3_0_549755813888&sr_pri_blocks=231884901_266118073_3_0_549755813888__22700&from=searchresults#hotelTmpl
Camelia Prestige - Place de la Nation;6,8;2.0;155;11e arr., Paris;[6.1337777, 1.2259398];https://www.booking.com/hotel/fr/hotelcameliaprestige.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Arf4yJEGwAIB0gIkNmMwYWYwNGUtNGY3Ni00ZTk3LThjOGUtZWQ0OTEwMDZkZGMw2AIG4AIB&sid=fe583fd9d2072cf7f79296083ac9fb07&aid=304142&ucfs=1&arphpl=1&checkin=2022-05-11&checkout=2022-05-12&dest_id=-1456928&dest_type=city&group_adults=2&req_adults=2&no_rooms=2&group_children=2&req_children=2&age=5&req_age=5&age=9&req_age=9&hpos=20&hapos=20&sr_order=popularity&srpvid=f935a4236e88018a&srepoch=1648509639&all_sr_blocks=5099301_145233770_0_0_0%2C5099301_145233770_0_0_0&highlighted_blocks=5099301_145233770_0_0_0%2C5099301_145233770_0_0_0&matching_block_id=5099301_145233770_0_0_0&sr_pri_blocks=5099301_145233770_0_0_0__7726%2C5099301_145233770_0_0_0__7726&from=searchresults#hotelTmpl
