name;grade;stars;prices;address;gps;link
citizenM Paris Gare de Lyon;8,6;4.0;430;12e arr., Paris;[6.1337777, 1.2259398];https://www.booking.com/hotel/fr/citizenm-paris-gare-de-lyon.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Arf4yJEGwAIB0gIkNmMwYWYwNGUtNGY3Ni00ZTk3LThjOGUtZWQ0OTEwMDZkZGMw2AIG4AIB&sid=b3e5ad111da49c97052c294a9dd6156a&aid=304142&ucfs=1&arphpl=1&checkin=2022-05-23&checkout=2022-05-24&dest_id=-1456928&dest_type=city&group_adults=2&req_adults=2&no_rooms=2&group_children=2&req_children=2&age=5&req_age=5&age=9&req_age=9&hpos=11&hapos=11&sr_order=popularity&srpvid=252c80ef7dd101de&srepoch=1648578017&all_sr_blocks=233773501_275703727_0_2_0%2C233773501_275703727_0_2_0&highlighted_blocks=233773501_275703727_0_2_0%2C233773501_275703727_0_2_0&matching_block_id=233773501_275703727_0_2_0&sr_pri_blocks=233773501_275703727_0_2_0__21476%2C233773501_275703727_0_2_0__21476&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
The People Hostel - Paris 12;8,9;;175;12e arr., Paris;[6.1337777, 1.2259398];https://www.booking.com/hotel/fr/the-people-hostel-paris-12.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Arf4yJEGwAIB0gIkNmMwYWYwNGUtNGY3Ni00ZTk3LThjOGUtZWQ0OTEwMDZkZGMw2AIG4AIB&sid=b3e5ad111da49c97052c294a9dd6156a&aid=304142&ucfs=1&arphpl=1&checkin=2022-05-23&checkout=2022-05-24&dest_id=-1456928&dest_type=city&group_adults=2&req_adults=2&no_rooms=2&group_children=2&req_children=2&age=5&req_age=5&age=9&req_age=9&hpos=12&hapos=12&sr_order=popularity&srpvid=252c80ef7dd101de&srepoch=1648578017&all_sr_blocks=488809208_346552283_1_0_0%2C488809205_346552283_3_0_0&highlighted_blocks=488809208_346552283_1_0_0%2C488809205_346552283_3_0_0&matching_block_id=488809208_346552283_1_0_0&sr_pri_blocks=488809208_346552283_1_0_0__3700%2C488809205_346552283_3_0_0__13800&from=searchresults#hotelTmpl
Hôtel Vivienne;8,2;;275;2e arr., Paris;[6.15466, 1.2391666];https://www.booking.com/hotel/fr/vivienne.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Arf4yJEGwAIB0gIkNmMwYWYwNGUtNGY3Ni00ZTk3LThjOGUtZWQ0OTEwMDZkZGMw2AIG4AIB&sid=b3e5ad111da49c97052c294a9dd6156a&aid=304142&ucfs=1&arphpl=1&checkin=2022-05-23&checkout=2022-05-24&dest_id=-1456928&dest_type=city&group_adults=2&req_adults=2&no_rooms=2&group_children=2&req_children=2&age=5&req_age=5&age=9&req_age=9&hpos=13&hapos=13&sr_order=popularity&srpvid=252c80ef7dd101de&srepoch=1648578017&all_sr_blocks=25848605_242690766_2_2_0%2C25848607_242690766_2_2_0&highlighted_blocks=25848605_242690766_2_2_0%2C25848607_242690766_2_2_0&matching_block_id=25848605_242690766_2_2_0&sr_pri_blocks=25848605_242690766_2_2_0__10500%2C25848607_242690766_2_2_0__17000&from=searchresults#hotelTmpl
Holiday Inn Paris Gare de l'Est, an IHG Hotel;7,8;4.0;370;10e arr., Paris;[6.1337777, 1.2259398];https://www.booking.com/hotel/fr/mercure-terminus-est.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Arf4yJEGwAIB0gIkNmMwYWYwNGUtNGY3Ni00ZTk3LThjOGUtZWQ0OTEwMDZkZGMw2AIG4AIB&sid=b3e5ad111da49c97052c294a9dd6156a&aid=304142&ucfs=1&arphpl=1&checkin=2022-05-23&checkout=2022-05-24&dest_id=-1456928&dest_type=city&group_adults=2&req_adults=2&no_rooms=2&group_children=2&req_children=2&age=5&req_age=5&age=9&req_age=9&hpos=14&hapos=14&sr_order=popularity&srpvid=252c80ef7dd101de&srepoch=1648578017&all_sr_blocks=5409525_328284926_2_2_0%2C5409525_328284926_2_2_0&highlighted_blocks=5409525_328284926_2_2_0%2C5409525_328284926_2_2_0&matching_block_id=5409525_328284926_2_2_0&sr_pri_blocks=5409525_328284926_2_2_0__18486%2C5409525_328284926_2_2_0__18486&from=searchresults#hotelTmpl
Régence Etoile;8,6;4.0;496;17e arr., Paris;[6.1337777, 1.2259398];https://www.booking.com/hotel/fr/la-regence-etoile.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Arf4yJEGwAIB0gIkNmMwYWYwNGUtNGY3Ni00ZTk3LThjOGUtZWQ0OTEwMDZkZGMw2AIG4AIB&sid=b3e5ad111da49c97052c294a9dd6156a&aid=304142&ucfs=1&arphpl=1&checkin=2022-05-23&checkout=2022-05-24&dest_id=-1456928&dest_type=city&group_adults=2&req_adults=2&no_rooms=2&group_children=2&req_children=2&age=5&req_age=5&age=9&req_age=9&hpos=15&hapos=15&sr_order=popularity&srpvid=252c80ef7dd101de&srepoch=1648578017&all_sr_blocks=5435804_298711297_2_2_0%2C5435804_298711297_2_2_0&highlighted_blocks=5435804_298711297_2_2_0%2C5435804_298711297_2_2_0&matching_block_id=5435804_298711297_2_2_0&sr_pri_blocks=5435804_298711297_2_2_0__24776%2C5435804_298711297_2_2_0__24776&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Aparthotel Adagio Paris Buttes Chaumont;8,0;3.0;174;19e arr., Paris;[6.1337777, 1.2259398];https://www.booking.com/hotel/fr/pvbutteschaumont.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Arf4yJEGwAIB0gIkNmMwYWYwNGUtNGY3Ni00ZTk3LThjOGUtZWQ0OTEwMDZkZGMw2AIG4AIB&sid=b3e5ad111da49c97052c294a9dd6156a&aid=304142&ucfs=1&arphpl=1&checkin=2022-05-23&checkout=2022-05-24&dest_id=-1456928&dest_type=city&group_adults=2&req_adults=2&no_rooms=2&group_children=2&req_children=2&age=5&req_age=5&age=9&req_age=9&hpos=16&hapos=16&sr_order=popularity&srpvid=252c80ef7dd101de&srepoch=1648578017&all_sr_blocks=5178201_243817202_4_2_0&highlighted_blocks=5178201_243817202_4_2_0&matching_block_id=5178201_243817202_4_2_0&sr_pri_blocks=5178201_243817202_4_2_0__17352&from=searchresults#hotelTmpl
Le Hameau de Passy;7,9;2.0;437;16e arr., Paris;[6.1337777, 1.2259398];https://www.booking.com/hotel/fr/lehameaudepassy.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Arf4yJEGwAIB0gIkNmMwYWYwNGUtNGY3Ni00ZTk3LThjOGUtZWQ0OTEwMDZkZGMw2AIG4AIB&sid=b3e5ad111da49c97052c294a9dd6156a&aid=304142&ucfs=1&arphpl=1&checkin=2022-05-23&checkout=2022-05-24&dest_id=-1456928&dest_type=city&group_adults=2&req_adults=2&no_rooms=2&group_children=2&req_children=2&age=5&req_age=5&age=9&req_age=9&hpos=17&hapos=17&sr_order=popularity&srpvid=252c80ef7dd101de&srepoch=1648578017&all_sr_blocks=5190702_265531928_0_2_0%2C5190702_265531928_0_2_0&highlighted_blocks=5190702_265531928_0_2_0%2C5190702_265531928_0_2_0&matching_block_id=5190702_265531928_0_2_0&sr_pri_blocks=5190702_265531928_0_2_0__21826%2C5190702_265531928_0_2_0__21826&from=searchresults#hotelTmpl
ibis Paris Avenue d'Italie 13ème;7,8;3.0;266;13e arr., Paris;[6.1337777, 1.2259398];https://www.booking.com/hotel/fr/ibis-avenue-d-italie.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Arf4yJEGwAIB0gIkNmMwYWYwNGUtNGY3Ni00ZTk3LThjOGUtZWQ0OTEwMDZkZGMw2AIG4AIB&sid=b3e5ad111da49c97052c294a9dd6156a&aid=304142&ucfs=1&arphpl=1&checkin=2022-05-23&checkout=2022-05-24&dest_id=-1456928&dest_type=city&group_adults=2&req_adults=2&no_rooms=2&group_children=2&req_children=2&age=5&req_age=5&age=9&req_age=9&hpos=18&hapos=18&sr_order=popularity&srpvid=252c80ef7dd101de&srepoch=1648578017&all_sr_blocks=4571004_333879882_2_2_0%2C4571004_333879882_2_2_0&highlighted_blocks=4571004_333879882_2_2_0%2C4571004_333879882_2_2_0&matching_block_id=4571004_333879882_2_2_0&sr_pri_blocks=4571004_333879882_2_2_0__13276%2C4571004_333879882_2_2_0__13276&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Hotel des Carmes;8,1;2.0;265;5e arr., Paris;[6.1868309, 1.1883102];https://www.booking.com/hotel/fr/des-carmes-paris.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Arf4yJEGwAIB0gIkNmMwYWYwNGUtNGY3Ni00ZTk3LThjOGUtZWQ0OTEwMDZkZGMw2AIG4AIB&sid=b3e5ad111da49c97052c294a9dd6156a&aid=304142&ucfs=1&arphpl=1&checkin=2022-05-23&checkout=2022-05-24&dest_id=-1456928&dest_type=city&group_adults=2&req_adults=2&no_rooms=2&group_children=2&req_children=2&age=5&req_age=5&age=9&req_age=9&hpos=19&hapos=19&sr_order=popularity&srpvid=252c80ef7dd101de&srepoch=1648578017&all_sr_blocks=194615401_108239027_0_2_0%2C194615403_108239027_0_2_0&highlighted_blocks=194615401_108239027_0_2_0%2C194615403_108239027_0_2_0&matching_block_id=194615401_108239027_0_2_0&sr_pri_blocks=194615401_108239027_0_2_0__12726%2C194615403_108239027_0_2_0__13726&from=searchresults#hotelTmpl
Hôtel Lucien & Marinette;8,3;3.0;298;10e arr., Paris;[6.1337777, 1.2259398];https://www.booking.com/hotel/fr/hotel-lucien-et-marinette.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Arf4yJEGwAIB0gIkNmMwYWYwNGUtNGY3Ni00ZTk3LThjOGUtZWQ0OTEwMDZkZGMw2AIG4AIB&sid=b3e5ad111da49c97052c294a9dd6156a&aid=304142&ucfs=1&arphpl=1&checkin=2022-05-23&checkout=2022-05-24&dest_id=-1456928&dest_type=city&group_adults=2&req_adults=2&no_rooms=2&group_children=2&req_children=2&age=5&req_age=5&age=9&req_age=9&hpos=20&hapos=20&sr_order=popularity&srpvid=252c80ef7dd101de&srepoch=1648578017&all_sr_blocks=22876905_222504013_0_2_0%2C22876905_222504013_0_2_0&highlighted_blocks=22876905_222504013_0_2_0%2C22876905_222504013_0_2_0&matching_block_id=22876905_222504013_0_2_0&sr_pri_blocks=22876905_222504013_0_2_0__14876%2C22876905_222504013_0_2_0__14876&from=searchresults#hotelTmpl
