name;grade;stars;prices;address;gps;start_date;end_date;link
La Belle Ville;9,0;;340;19e arr., Paris;;04-11-2022;05-01-2022;https://www.booking.com/hotel/fr/la-belle-ville.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Arf4yJEGwAIB0gIkNmMwYWYwNGUtNGY3Ni00ZTk3LThjOGUtZWQ0OTEwMDZkZGMw2AIG4AIB&sid=47b76e36b2b36282e33ccdcf87a26114&aid=304142&ucfs=1&arphpl=1&checkin=2022-05-01&checkout=2022-05-02&dest_id=-1456928&dest_type=city&group_adults=2&req_adults=2&no_rooms=2&group_children=2&req_children=2&age=5&req_age=5&age=9&req_age=9&hpos=11&hapos=11&sr_order=popularity&srpvid=d0fd8ad5224701b8&srepoch=1648583083&all_sr_blocks=817582902_344316804_2_2_0%2C817582902_344316804_2_2_0&highlighted_blocks=817582902_344316804_2_2_0%2C817582902_344316804_2_2_0&matching_block_id=817582902_344316804_2_2_0&sr_pri_blocks=817582902_344316804_2_2_0__16976%2C817582902_344316804_2_2_0__16976&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Ibis Styles Paris Gare Saint Lazare;8,3;3.0;190;8e arr., Paris;;04-11-2022;05-01-2022;https://www.booking.com/hotel/fr/ibis-styles-paris-gare-saint-lazare.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Arf4yJEGwAIB0gIkNmMwYWYwNGUtNGY3Ni00ZTk3LThjOGUtZWQ0OTEwMDZkZGMw2AIG4AIB&sid=47b76e36b2b36282e33ccdcf87a26114&aid=304142&ucfs=1&arphpl=1&checkin=2022-05-01&checkout=2022-05-02&dest_id=-1456928&dest_type=city&group_adults=2&req_adults=2&no_rooms=2&group_children=2&req_children=2&age=5&req_age=5&age=9&req_age=9&hpos=12&hapos=12&sr_order=popularity&srpvid=d0fd8ad5224701b8&srepoch=1648583083&all_sr_blocks=5072510_99042996_1_1_0%2C5072510_99042996_1_1_0&highlighted_blocks=5072510_99042996_1_1_0%2C5072510_99042996_1_1_0&matching_block_id=5072510_99042996_1_1_0&sr_pri_blocks=5072510_99042996_1_1_0__9488%2C5072510_99042996_1_1_0__9488&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Hôtel de Banville;8,4;4.0;432;17e arr., Paris;;04-11-2022;05-01-2022;https://www.booking.com/hotel/fr/hoteldebanvilleparis.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Arf4yJEGwAIB0gIkNmMwYWYwNGUtNGY3Ni00ZTk3LThjOGUtZWQ0OTEwMDZkZGMw2AIG4AIB&sid=47b76e36b2b36282e33ccdcf87a26114&aid=304142&ucfs=1&arphpl=1&checkin=2022-05-01&checkout=2022-05-02&dest_id=-1456928&dest_type=city&group_adults=2&req_adults=2&no_rooms=2&group_children=2&req_children=2&age=5&req_age=5&age=9&req_age=9&hpos=13&hapos=13&sr_order=popularity&srpvid=d0fd8ad5224701b8&srepoch=1648583083&all_sr_blocks=5177001_200907532_0_2_0%2C5177001_200907532_0_2_0&highlighted_blocks=5177001_200907532_0_2_0%2C5177001_200907532_0_2_0&matching_block_id=5177001_200907532_0_2_0&sr_pri_blocks=5177001_200907532_0_2_0__21576%2C5177001_200907532_0_2_0__21576&from=searchresults#hotelTmpl
Hôtel Orchidée;8,4;3.0;164;14e arr., Paris;;04-11-2022;05-01-2022;https://www.booking.com/hotel/fr/de-l-orchidee.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Arf4yJEGwAIB0gIkNmMwYWYwNGUtNGY3Ni00ZTk3LThjOGUtZWQ0OTEwMDZkZGMw2AIG4AIB&sid=47b76e36b2b36282e33ccdcf87a26114&aid=304142&ucfs=1&arphpl=1&checkin=2022-05-01&checkout=2022-05-02&dest_id=-1456928&dest_type=city&group_adults=2&req_adults=2&no_rooms=2&group_children=2&req_children=2&age=5&req_age=5&age=9&req_age=9&hpos=14&hapos=14&sr_order=popularity&srpvid=d0fd8ad5224701b8&srepoch=1648583083&all_sr_blocks=23857802_212953692_0_2_0%2C23857802_212953692_0_2_0&highlighted_blocks=23857802_212953692_0_2_0%2C23857802_212953692_0_2_0&matching_block_id=23857802_212953692_0_2_0&sr_pri_blocks=23857802_212953692_0_2_0__8176%2C23857802_212953692_0_2_0__8176&from=searchresults#hotelTmpl
Hôtel Du Mont Dore Batignolles;7,0;3.0;128;17e arr., Paris;;04-11-2022;05-01-2022;https://www.booking.com/hotel/fr/hotel-du-mont-dore.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Arf4yJEGwAIB0gIkNmMwYWYwNGUtNGY3Ni00ZTk3LThjOGUtZWQ0OTEwMDZkZGMw2AIG4AIB&sid=47b76e36b2b36282e33ccdcf87a26114&aid=304142&ucfs=1&arphpl=1&checkin=2022-05-01&checkout=2022-05-02&dest_id=-1456928&dest_type=city&group_adults=2&req_adults=2&no_rooms=2&group_children=2&req_children=2&age=5&req_age=5&age=9&req_age=9&hpos=15&hapos=15&sr_order=popularity&srpvid=d0fd8ad5224701b8&srepoch=1648583083&all_sr_blocks=23011203_279746076_2_2_0%2C23011203_279746076_2_2_0&highlighted_blocks=23011203_279746076_2_2_0%2C23011203_279746076_2_2_0&matching_block_id=23011203_279746076_2_2_0&sr_pri_blocks=23011203_279746076_2_2_0__6376%2C23011203_279746076_2_2_0__6376&from=searchresults#hotelTmpl
Mercure Paris Gare de l'Est;8,1;3.0;200;10e arr., Paris;;04-11-2022;05-01-2022;https://www.booking.com/hotel/fr/mercure-paris-boulevard-magenta.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Arf4yJEGwAIB0gIkNmMwYWYwNGUtNGY3Ni00ZTk3LThjOGUtZWQ0OTEwMDZkZGMw2AIG4AIB&sid=47b76e36b2b36282e33ccdcf87a26114&aid=304142&ucfs=1&arphpl=1&checkin=2022-05-01&checkout=2022-05-02&dest_id=-1456928&dest_type=city&group_adults=2&req_adults=2&no_rooms=2&group_children=2&req_children=2&age=5&req_age=5&age=9&req_age=9&hpos=16&hapos=16&sr_order=popularity&srpvid=d0fd8ad5224701b8&srepoch=1648583083&all_sr_blocks=5949302_333879804_2_2_0%2C5949301_333879804_2_2_0&highlighted_blocks=5949302_333879804_2_2_0%2C5949301_333879804_2_2_0&matching_block_id=5949302_333879804_2_2_0&sr_pri_blocks=5949302_333879804_2_2_0__9976%2C5949301_333879804_2_2_0__9976&from=searchresults#hotelTmpl
Hotel Riviera Elysees;7,0;3.0;158;17e arr., Paris;;04-11-2022;05-01-2022;https://www.booking.com/hotel/fr/riviera-elysees.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Arf4yJEGwAIB0gIkNmMwYWYwNGUtNGY3Ni00ZTk3LThjOGUtZWQ0OTEwMDZkZGMw2AIG4AIB&sid=47b76e36b2b36282e33ccdcf87a26114&aid=304142&ucfs=1&arphpl=1&checkin=2022-05-01&checkout=2022-05-02&dest_id=-1456928&dest_type=city&group_adults=2&req_adults=2&no_rooms=2&group_children=2&req_children=2&age=5&req_age=5&age=9&req_age=9&hpos=17&hapos=17&sr_order=popularity&srpvid=d0fd8ad5224701b8&srepoch=1648583083&all_sr_blocks=165926604_279716771_0_0_0%2C165926604_279716771_0_0_0&highlighted_blocks=165926604_279716771_0_0_0%2C165926604_279716771_0_0_0&matching_block_id=165926604_279716771_0_0_0&sr_pri_blocks=165926604_279716771_0_0_0__7876%2C165926604_279716771_0_0_0__7876&from=searchresults#hotelTmpl
Hôtel Lucien & Marinette;8,3;3.0;316;10e arr., Paris;;04-11-2022;05-01-2022;https://www.booking.com/hotel/fr/hotel-lucien-et-marinette.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Arf4yJEGwAIB0gIkNmMwYWYwNGUtNGY3Ni00ZTk3LThjOGUtZWQ0OTEwMDZkZGMw2AIG4AIB&sid=47b76e36b2b36282e33ccdcf87a26114&aid=304142&ucfs=1&arphpl=1&checkin=2022-05-01&checkout=2022-05-02&dest_id=-1456928&dest_type=city&group_adults=2&req_adults=2&no_rooms=2&group_children=2&req_children=2&age=5&req_age=5&age=9&req_age=9&hpos=18&hapos=18&sr_order=popularity&srpvid=d0fd8ad5224701b8&srepoch=1648583083&all_sr_blocks=83594_222504013_0_2_0%2C22876905_222504013_0_2_0&highlighted_blocks=83594_222504013_0_2_0%2C22876905_222504013_0_2_0&matching_block_id=83594_222504013_0_2_0&sr_pri_blocks=83594_222504013_0_2_0__15776%2C22876905_222504013_0_2_0__15776&from=searchresults#hotelTmpl
Virgina;8,4;3.0;148;14e arr., Paris;;04-11-2022;05-01-2022;https://www.booking.com/hotel/fr/virgina.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Arf4yJEGwAIB0gIkNmMwYWYwNGUtNGY3Ni00ZTk3LThjOGUtZWQ0OTEwMDZkZGMw2AIG4AIB&sid=47b76e36b2b36282e33ccdcf87a26114&aid=304142&ucfs=1&arphpl=1&checkin=2022-05-01&checkout=2022-05-02&dest_id=-1456928&dest_type=city&group_adults=2&req_adults=2&no_rooms=2&group_children=2&req_children=2&age=5&req_age=5&age=9&req_age=9&hpos=19&hapos=19&sr_order=popularity&srpvid=d0fd8ad5224701b8&srepoch=1648583083&all_sr_blocks=5897608_285489302_2_2_0%2C5897608_285489302_2_2_0&highlighted_blocks=5897608_285489302_2_2_0%2C5897608_285489302_2_2_0&matching_block_id=5897608_285489302_2_2_0&sr_pri_blocks=5897608_285489302_2_2_0__7376%2C5897608_285489302_2_2_0__7376&from=searchresults#hotelTmpl
"Hotel Apolonia Paris Montmartre; Sure Hotel Collection by Best Western";8,2;3.0;186;18e arr., Paris;;04-11-2022;05-01-2022;https://www.booking.com/hotel/fr/comfort-hotel-lamarck-caulaincourt.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Arf4yJEGwAIB0gIkNmMwYWYwNGUtNGY3Ni00ZTk3LThjOGUtZWQ0OTEwMDZkZGMw2AIG4AIB&sid=47b76e36b2b36282e33ccdcf87a26114&aid=304142&ucfs=1&arphpl=1&checkin=2022-05-01&checkout=2022-05-02&dest_id=-1456928&dest_type=city&group_adults=2&req_adults=2&no_rooms=2&group_children=2&req_children=2&age=5&req_age=5&age=9&req_age=9&hpos=20&hapos=20&sr_order=popularity&srpvid=d0fd8ad5224701b8&srepoch=1648583083&all_sr_blocks=22105815_296013234_2_2_0%2C22105815_296013234_2_2_0&highlighted_blocks=22105815_296013234_2_2_0%2C22105815_296013234_2_2_0&matching_block_id=22105815_296013234_2_2_0&sr_pri_blocks=22105815_296013234_2_2_0__9301%2C22105815_296013234_2_2_0__9301&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
