;name;grade;stars;prices;address;gps;date;nb_personne;link
10;Citadines République Paris;3,9;3.0;193 €;75 Bis, Avenue Parmentier, Paris, Paris, 75011;[48.8611455, 2.3778135];11 août 2022;4;https://fr.hotels.com/ho206334/citadines-republique-paris-paris-france/?chkin=2022-08-11&chkout=2022-08-12&x_pwa=1&rfrr=HSR&pwa_ts=1648554318796&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2%3Ac9%3Ac4&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=553248635212953602&sort=RECOMMENDED&top_dp=193&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=210308993&selectedRatePlan=222211625&expediaPropertyId=457360
11;Hotel Cosmotel;4,1;3.0;180 €;17 Boulevard De Strasbourg, Paris, Paris, 75010;[48.87047, 2.3546823];11 août 2022;4;https://fr.hotels.com/ho298821/hotel-cosmotel-paris-france/?chkin=2022-08-11&chkout=2022-08-12&x_pwa=1&rfrr=HSR&pwa_ts=1648554318795&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2%3Ac9%3Ac4&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=553248635979203600&sort=RECOMMENDED&top_dp=180&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=200521349&selectedRatePlan=203328876&expediaPropertyId=561995
12;Les Jardins du Marais;4,1;4.0;274 €;74 Rue Amelot, Paris, Paris, 75011;[48.8604916, 2.3679958];11 août 2022;4;https://fr.hotels.com/ho120514/les-jardins-du-marais-paris-france/?chkin=2022-08-11&chkout=2022-08-12&x_pwa=1&rfrr=HSR&pwa_ts=1648554318795&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2%3Ac9%3Ac4&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=553248635212953602&sort=RECOMMENDED&top_dp=274&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=98214&selectedRatePlan=418753&expediaPropertyId=20931
13;Mary's Hotel République;3,6;2.0;145 €;15 Rue de Malte, Paris, Paris, 75011;[48.8651616, 2.3680086];11 août 2022;4;https://fr.hotels.com/ho397709/mary-s-hotel-republique-paris-france/?chkin=2022-08-11&chkout=2022-08-12&x_pwa=1&rfrr=HSR&pwa_ts=1648554318797&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2%3Ac9%3Ac4&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=553248635212952757&sort=RECOMMENDED&top_dp=145&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=200429607&selectedRatePlan=202445842&expediaPropertyId=6985915
14;Hotel Paris Bastille;4,1;3.0;208 €;67 rue de Lyon, Paris, Paris, 75012;[48.8509291, 2.3698902];11 août 2022;4;https://fr.hotels.com/ho237294/hotel-paris-bastille-paris-france/?chkin=2022-08-11&chkout=2022-08-12&x_pwa=1&rfrr=HSR&pwa_ts=1648554318798&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2%3Ac9%3Ac4&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=553248635212953907&sort=RECOMMENDED&top_dp=208&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=509372&selectedRatePlan=201702711&expediaPropertyId=1387066
15;Odalys City Paris Montmartre;4,3;4.0;317 €;7 rue Saint-Vincent, Paris, 75018;[48.8882183, 2.3426593];11 août 2022;4;https://fr.hotels.com/ho743046208/odalys-city-paris-montmartre-paris-france/?chkin=2022-08-11&chkout=2022-08-12&x_pwa=1&rfrr=HSR&pwa_ts=1648554318797&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2%3Ac9%3Ac4&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=178676&sort=RECOMMENDED&top_dp=317&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=221105442&selectedRatePlan=294018346&expediaPropertyId=23188944
16;Hotel Liège Strasbourg;4,1;2.0;162 €;67 Boulevard de Strasbourg, Paris, Paris, 75010;[48.8737856, 2.3565458];11 août 2022;4;https://fr.hotels.com/ho211978/hotel-liege-strasbourg-paris-france/?chkin=2022-08-11&chkout=2022-08-12&x_pwa=1&rfrr=HSR&pwa_ts=1648554318799&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2%3Ac9%3Ac4&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=553248635212953679&sort=RECOMMENDED&top_dp=162&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=200632679&selectedRatePlan=203042162&expediaPropertyId=1450480
17;Holiday Inn Paris Elysees, an IHG Hotel;3,8;4.0;302 €;24 Rue De Miromesnil, Paris, Paris, 75008;[48.8730306, 2.3160309];11 août 2022;4;https://fr.hotels.com/ho266596/holiday-inn-paris-elysees-paris-france/?chkin=2022-08-11&chkout=2022-08-12&x_pwa=1&rfrr=HSR&pwa_ts=1648554318797&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2%3Ac9%3Ac4&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=553248634838840666&trackingData=AAAAEHtKTc1MqaE64z0hSUCjtzR99ktsU_pGfalI4gpFpDuhwCwvV45oL4-I2i9xHwXatDxDEuwo4cc3ZJFbCJfKqVHmNI8ALivQFHOBc_cqp7BWaIAimA5_3-vgC6kT1Qns2roDV8M4uvX5azLjCGeQvw3THzC0usgXG6YbGwO7tg1QTRJjYyYTeAMG3VAAJl0XtTNANFvxMX_aZK2njyBXQLlfLeOxwT_NogzfzdtFiXa5uDz2AWIJzyGcgnnnmFsePgdoWIzWxFWSiIkUYbSnxppu-K1swU7eJjyneh_0YwXQvqSbiYcse1rHabYq5fvCwOV3xJQ-y8y4LAqLBdBHRXaSwyRMRdSkZFHSFQzbVL5ItxGFYtn-MPwyr7pmnEvaqxBmf3BiztDlDAuobcx9Wv4zKnsG-XyMBJrX_Cb6Qdd54YYWXTQDsdv_dCeU-eBUEjc_e2FOPC7Z4RoUifSC5JiRvz-E9dj8oTeUnGB223hXhlhe1sXcGTyPlw-8ScUE5hQbxyrnRBxE3DK-uNm4GqxbF7qakQES6Ffz4bZceLdIvAyF3SDaE_Y5CBi89p3ZUFAt5EmY2lBJkxQtnYvbwsBY6zFRzAwYO7sF5yxyE1Jcdfrd00B_NlptqTXr7ltooG8sOwk369epyFzeBiY7xeaFxTlbff3r5fNc_4jG3TVeP0XU9ttHmLhhnjfajsma6zBG-uh09e3Z-uU4G9VgF-Gdb6qdMYtMcqmBmzuZAPoZmsSlnLswnx_mgY2taiMKD4pPCo8a80nnXLtINsoScHSbK5mLbE3jG9uXJK-inEatJl18Kc0My7OK0VwcZZlc3wjYHVKTKH4sHTei_CPtT-aOleRJFvL_XGhCKCLFgQJSefqwAx99ESne7SOSDwe7chb6auTMijJmr0Dy8YktbMggAqpviveyCLUbg1wwPNjkY1oJmGk4kyYNVnAcpvxm2cQQ7j2BkSKqGIOe10pzHhA2WXAU6tN6dwARb7Ff9WMA7xDKnZysgq3-zLHaMXV6Ww%3D%3D&rank=5&testVersionOverride=Buttercup%2C31936.102311.0%2C33775.98848.1%2C38414.114301.0%2C40794.121819.2%2C38427.115718.1%2C42444.123988.0%2C42876.124673.0%2C42973.124182.1%2C42974.123984.1%2C42975.124629.0%2C42976.125426.1%2C42802.125960.1%2C33739.99567.0%2C37898.109354.0%2C37930.119094.0%2C43191.126721.1%2C43435.126644.0&slots=HSR_AC&position=18&beaconIssued=2022-03-29T11%3A45%3A17&sort=RECOMMENDED&top_dp=302&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=200271371&selectedRatePlan=381132026&expediaPropertyId=109408
18;Hotel Excelsior Republique;3,1;2.0;131 €;4, rue de Lancry, Paris, Paris, 75010;[48.868812, 2.3600579];11 août 2022;4;https://fr.hotels.com/ho283034/hotel-excelsior-republique-paris-france/?chkin=2022-08-11&chkout=2022-08-12&x_pwa=1&rfrr=HSR&pwa_ts=1648554318798&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2%3Ac9%3Ac4&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=553248635212952485&sort=RECOMMENDED&top_dp=131&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=200523967&selectedRatePlan=202786468&expediaPropertyId=565108
19;CADET Residence;4,1;0.0;287 €;7 Rue Cadet, Paris, Paris, 75009;[48.8747685, 2.3427513];11 août 2022;4;https://fr.hotels.com/ho323230/cadet-residence-paris-france/?chkin=2022-08-11&chkout=2022-08-12&x_pwa=1&rfrr=HSR&pwa_ts=1648554318797&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2%3Ac9%3Ac4&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=553248635212953989&sort=RECOMMENDED&top_dp=287&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=201710598&selectedRatePlan=208532294&expediaPropertyId=1633756
