;name;grade;stars;prices;address;gps;date;nb_personne;link
10;Mary's Hotel République;3,6;2.0;145 €;15 Rue de Malte, Paris, Paris, 75011;[48.8651616, 2.3680086];11 juillet 2022;4;https://fr.hotels.com/ho397709/mary-s-hotel-republique-paris-france/?chkin=2022-07-11&chkout=2022-07-12&x_pwa=1&rfrr=HSR&pwa_ts=1648549132063&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2%3Ac9%3Ac4&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=553248635212952757&sort=RECOMMENDED&top_dp=145&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=200429607&selectedRatePlan=202445842&expediaPropertyId=6985915
11;Citadines République Paris;3,9;3.0;245 €;75 Bis, Avenue Parmentier, Paris, Paris, 75011;[48.8611455, 2.3778135];11 juillet 2022;4;https://fr.hotels.com/ho206334/citadines-republique-paris-paris-france/?chkin=2022-07-11&chkout=2022-07-12&x_pwa=1&rfrr=HSR&pwa_ts=1648549132066&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2%3Ac9%3Ac4&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=553248635212953602&sort=RECOMMENDED&top_dp=245&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=210308993&selectedRatePlan=222211625&expediaPropertyId=457360
12;Hotel Paris Bastille;4,1;3.0;250 €;67 rue de Lyon, Paris, Paris, 75012;[48.8509291, 2.3698902];11 juillet 2022;4;https://fr.hotels.com/ho237294/hotel-paris-bastille-paris-france/?chkin=2022-07-11&chkout=2022-07-12&x_pwa=1&rfrr=HSR&pwa_ts=1648549132068&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2%3Ac9%3Ac4&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=553248635212953907&sort=RECOMMENDED&top_dp=250&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=102457&selectedRatePlan=201702708&expediaPropertyId=1387066
13;Hotel Langlois;4,3;3.0;183 €;63 rue Saint-Lazare, Paris, Paris, 75009;[48.8762821, 2.3320047];11 juillet 2022;4;https://fr.hotels.com/ho449720/hotel-langlois-paris-france/?chkin=2022-07-11&chkout=2022-07-12&x_pwa=1&rfrr=HSR&pwa_ts=1648549132063&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2%3Ac9%3Ac4&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=553248635212952445&sort=RECOMMENDED&top_dp=183&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=200547821&selectedRatePlan=204884263&expediaPropertyId=7510766
14;Odalys City Paris Montmartre;4,3;4.0;255 €;7 rue Saint-Vincent, Paris, 75018;[48.8882183, 2.3426593];11 juillet 2022;4;https://fr.hotels.com/ho743046208/odalys-city-paris-montmartre-paris-france/?chkin=2022-07-11&chkout=2022-07-12&x_pwa=1&rfrr=HSR&pwa_ts=1648549132066&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2%3Ac9%3Ac4&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=178676&sort=RECOMMENDED&top_dp=255&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=221105442&selectedRatePlan=294018484&expediaPropertyId=23188944
15;Hotel Antin Saint-Georges;3,4;2.0;191 €;21 rue Notre Dame de Lorette, Paris, Paris, 75009;[48.8779653, 2.3378808];11 juillet 2022;4;https://fr.hotels.com/ho262939/hotel-antin-saint-georges-paris-france/?chkin=2022-07-11&chkout=2022-07-12&x_pwa=1&rfrr=HSR&pwa_ts=1648549132063&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2%3Ac9%3Ac4&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=553248635212957556&sort=RECOMMENDED&top_dp=191&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=222047&selectedRatePlan=203871862&expediaPropertyId=1840967
16;Hôtel Albe Bastille;4,3;3.0;215 €;66 Rue De Charenton, Paris, Paris, 75012;[48.8494146, 2.3744447];11 juillet 2022;4;https://fr.hotels.com/ho282507/hotel-albe-bastille-paris-france/?chkin=2022-07-11&chkout=2022-07-12&x_pwa=1&rfrr=HSR&pwa_ts=1648549132066&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2%3Ac9%3Ac4&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=553248635212953907&sort=RECOMMENDED&top_dp=215&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=200271509&selectedRatePlan=201605522&expediaPropertyId=1383362
17;Holiday Inn Paris - Montmartre, an IHG Hotel;4,2;4.0;376 €;23 Rue Damremont, Paris, Paris, 75018;[48.8888806, 2.3331948];11 juillet 2022;4;https://fr.hotels.com/ho266479/holiday-inn-paris-montmartre-paris-france/?chkin=2022-07-11&chkout=2022-07-12&x_pwa=1&rfrr=HSR&pwa_ts=1648549132068&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2%3Ac9%3Ac4&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=553248635212953232&trackingData=AAAAEK5oJI-trgaL6DsWw3S7IfD-oXaFZMx8NtUBJL9Sm6lksa7GXtuiClV-oFuPZX9nt_DtFmzIkERqLbcTK5IcN8_y4VOwm3u5t8Kn2IEZecweX4TTd8V_9CjNsZkb9PCe06cEkRo7smnsq9SYXR_eJHj4D__IijeV_9lCRyCtG_YXjEHNOvwdFB1z_-JXhf3luL2gzUe4RWMTGdqr1WTdUT50BHgblvm4BJSSyNpJNsmefHQ7uG0pP6HbqSMh40UVFSwJ3FmYNLS67dCu2oPpMpweKNqMiqCN8mmkP9OB8SDtzs_iHQvNf7zXs6nHFGhjRKubc6Y8be7yaCxYFKj58tAPT3KoLrvnH3nq1W9lTfWd_ykWQt29kKs6xGYvQoe_dZcQVLpAfVDLk-gqK75P7QXZBCr6gV4g-M9856hFRn4FFtwCkEMDwUpyj7tnJaz3gRRowHhQwawg6h2BZiW5gcqsgqkBmdq8QyREz9WbUqVVhz8VOL4aHdBIJNCLToFZynoVd-2qugatiWSE6kSYM_oIPfV02iDleuBGsL-_KARi4gbfhUbAMGd1HcDER4MH92gt6ed15xOxtOyoOD6ccFu6FAagpQ8UWdGnm_sOiZV7NxyRT_P0DuzR7KPQpiIm89pEXJXvGQVOJMxqtT0NL7j_Z7c6xuvthPOJaveynr6aCn60YtPymuB-CybVcuQqDDRENaBpVCJaccwAtBGmd1IMN-S-bvqPYL7jZzxXkwbG8yk3VA6cF5HjSqfLdjXJNs-j1GQhhuYSqjLOcmmi9eGlK7Wd-o2-G5_6oVyI72N-iw6Lq6BsxVuOqv6x27m0oUhXK2OO6qSO2mUGKXD16WN7Ec8K9fCm6V_jrpm2O51EleNw654EjYyXjJcqFIVdzIl55FyociZvHuO4k_e99F_o0lJ_GV8txh5MeDhYZbaOirahWdC4v5g8onPl-MnwyPhjqmfn-7PFycJQZZVMSej6WVNbuzqu9aY2I2vl3D2uXiBTKyIIOFbFGGQmu6izKQ%3D%3D&rank=5&testVersionOverride=Buttercup%2C31936.102311.0%2C33775.98848.1%2C38414.114301.0%2C40794.121819.2%2C38427.115718.1%2C42444.123988.0%2C42876.124673.0%2C42973.124182.1%2C42974.123984.1%2C42975.124629.0%2C42976.125426.1%2C42802.125960.1%2C33739.99567.0%2C37898.109354.0%2C37930.119094.0%2C43191.126721.0%2C43435.126644.1&slots=HSR_AC&position=18&beaconIssued=2022-03-29T10%3A18%3A50&sort=RECOMMENDED&top_dp=376&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=200120152&selectedRatePlan=381123572&expediaPropertyId=44828
18;Hôtel Du Brabant;;2.0;131 €;18 Rue Des Petits Hotels, Paris, Paris, 75010;[48.8774785, 2.353728];11 juillet 2022;4;https://fr.hotels.com/ho287326/hotel-du-brabant-paris-france/?chkin=2022-07-11&chkout=2022-07-12&x_pwa=1&rfrr=HSR&pwa_ts=1648549132063&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2%3Ac9%3Ac4&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=553248635212953155&sort=RECOMMENDED&top_dp=131&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=200271603&selectedRatePlan=202795224&expediaPropertyId=2520450
19;Les Jardins du Marais;4,1;4.0;334 €;74 Rue Amelot, Paris, Paris, 75011;[48.8604916, 2.3679958];11 juillet 2022;4;https://fr.hotels.com/ho120514/les-jardins-du-marais-paris-france/?chkin=2022-07-11&chkout=2022-07-12&x_pwa=1&rfrr=HSR&pwa_ts=1648549132065&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2%3Ac9%3Ac4&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=553248635212953602&sort=RECOMMENDED&top_dp=334&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=98214&selectedRatePlan=418753&expediaPropertyId=20931
