name;grade;stars;prices;address;gps;date;nb_personne;link
23M Appartments;4,0;0;110 €;23 bis, rue des Messageries, Paris, 75010;[48.876137, 2.3508617];11/02/2023;2;https://fr.hotels.com/ho709699040/23m-appartments-paris-france/?chkin=2023-02-11&chkout=2023-02-12&x_pwa=1&rfrr=HSR&pwa_ts=1648595593628&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=553248635212953679&sort=RECOMMENDED&top_dp=110&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=202425536&selectedRatePlan=212336681&expediaPropertyId=22146845
Hôtel Gabriel Paris;4,4;4.0;200 €;25, Rue du Grand Prieuré, Paris, Paris, 75011;[48.8660949, 2.3683052];11/02/2023;2;https://fr.hotels.com/ho310414/hotel-gabriel-paris-paris-france/?chkin=2023-02-11&chkout=2023-02-12&x_pwa=1&rfrr=HSR&pwa_ts=1648595593628&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=553248635212952757&sort=RECOMMENDED&top_dp=200&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=352387&selectedRatePlan=200939991&expediaPropertyId=2499092
Libertel Austerlitz Jardin des Plantes;3,9;3.0;111 €;12 Boulevard de l'Hopital, Paris, Paris, 75005;[48.8424292, 2.363216];11/02/2023;2;https://fr.hotels.com/ho127852/libertel-austerlitz-jardin-des-plantes-paris-france/?chkin=2023-02-11&chkout=2023-02-12&x_pwa=1&rfrr=HSR&pwa_ts=1648595593631&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=553248635212953069&sort=RECOMMENDED&top_dp=111&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=200680478&selectedRatePlan=203344942&expediaPropertyId=1262
Libertel Montmartre Opéra;4,0;3.0;102 €;32 Rue Duperré, Paris, Paris, 75009;[48.8820719, 2.334511];11/02/2023;2;https://fr.hotels.com/ho130479/libertel-montmartre-opera-paris-france/?chkin=2023-02-11&chkout=2023-02-12&x_pwa=1&rfrr=HSR&pwa_ts=1648595593631&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=553248635212957556&sort=RECOMMENDED&top_dp=102&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=315632453&selectedRatePlan=384183881&expediaPropertyId=3703
Grand Hotel Nouvel Opera;3,3;3.0;81 €;152 Avenue Ledru Rollin, Paris, Paris, 75011;[48.8553767, 2.3786616];11/02/2023;2;https://fr.hotels.com/ho135373/grand-hotel-nouvel-opera-paris-france/?chkin=2023-02-11&chkout=2023-02-12&x_pwa=1&rfrr=HSR&pwa_ts=1648595593633&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=553248635212953134&sort=RECOMMENDED&top_dp=81&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=200820365&selectedRatePlan=204125370&expediaPropertyId=64872
Hôtel 34B - Astotel;4,6;3.0;165 €;34 Rue Bergere, Paris, Paris, 75009;[48.8727003, 2.3435855];11/02/2023;2;https://fr.hotels.com/ho194609/hotel-34b-astotel-paris-france/?chkin=2023-02-11&chkout=2023-02-12&x_pwa=1&rfrr=HSR&pwa_ts=1648595593633&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=553248635212953989&sort=RECOMMENDED&top_dp=165&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=7798&selectedRatePlan=7798&expediaPropertyId=18868
Citadines République Paris;3,9;3.0;218 €;75 Bis, Avenue Parmentier, Paris, Paris, 75011;[48.8611455, 2.3778135];11/02/2023;2;https://fr.hotels.com/ho206334/citadines-republique-paris-paris-france/?chkin=2023-02-11&chkout=2023-02-12&x_pwa=1&rfrr=HSR&pwa_ts=1648595593631&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=553248635212953602&sort=RECOMMENDED&top_dp=218&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=210308992&selectedRatePlan=222211617&expediaPropertyId=457360
Holiday Inn Paris CDG Airport, an IHG Hotel;5,0;4.0;141 €;61 Rue Houdart, Roissy-en-France, 95700;[49.0010972, 2.515179];11/02/2023;2;https://fr.hotels.com/ho2209082304/holiday-inn-paris-cdg-airport-an-ihg-hotel-roissy-en-france-france/?chkin=2023-02-11&chkout=2023-02-12&x_pwa=1&rfrr=HSR&pwa_ts=1648595593632&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&trackingData=AAAAEBuuSFW386Cu2MFLyVTVgrBGsj6eitW9G4eErD6D5HjZBwD5hz0ipNkNtQdhAGBF4N4xd0BdYV567Ae0axtT5rzEuHnu4QgydwaluCNk1aZALP7vbAzduqLytW5taJpV2G-Om0Iodp_lHuEirG9Diis915DGCPVVsdLXTowTznKs-6TkRSLdmuwZ8BjunIUrOFfyu5TkTZjrJgoPeUkXFI3FzRD1ZlRFqSOma9HqX32z_Xioe8Qge4cBmG4SWCZsaQPMJKVdmFm1AoBNIY0OJfGS7gCwxgCR3-XviyR6KjiItMbk_p89Y2mP_lQDfko5zRhegSKeDSXRFSjvc0JiqcUU2xrVXG0w3xitEG0z8865UtjNgCS0BShlTVM1WxmpXbjem8D2X7tn8zWSj7GCP-KRTHRliRz7_pczEbUq5ojOufXZQLOjrFD5x-TO2j88d9TSZNOFm3j5gSgF71FMyNAEbwoRd6xSV6MJuYFEMheltL77SvPo4FR5O-TWJM74l6HmYiRIZu8TOM0_H6z_F6SS0oAnAWCHRcsCGovyIIDBCeysuueIvy4wAbmDK_s0vwb9bnqofgOjIbkBISNAj-7LxfG7sDf8E8re7zPsomgfaqtQ9mgx71bs49v_rD7LtQiJWULew1esTiX7dfryZqdRFu1TV1WNcZliTotkNR0soLEMCAlxWkeHAxZwz7F0UENhht_vuIASTex0EVpXtoa4Jz5XkiMuFR9OjobzVpwGqIysHbyyE9vmz8mzsvej7_1oDycrrkg6rbMxbBKhCGeOkt_kBoHlA0hM_Kh9erlsAcD5zyO6mwkeXLxKKTOMbDXOQjSNyCyTmmxk96w90uHPBACLIJzy3hfF-FD7PnBMpKMVMyQswW1BszghtQ5u8TqZp7wLQ_x_uTLYI0u1D6CWm8oCbl0aLc8bfrsu81m0K2wvd54WaDKjEOQXc1rw2ZbGgIihIB0hPX5NLAtwjTWL9nrBuvHSR67T2PY6TEBjJwuqidca8jOipemSMyq3Qw%3D%3D&rank=5&testVersionOverride=Buttercup%2C31936.102311.0%2C33775.98848.1%2C38414.114301.0%2C40794.121819.2%2C38427.115718.1%2C42444.123988.0%2C42876.124673.0%2C42973.124182.1%2C42974.123984.1%2C42975.124629.0%2C42976.125426.1%2C42802.125960.1%2C33739.99567.0%2C37898.109354.0%2C37930.119094.0%2C43191.126721.0%2C43435.126644.0&slots=HSR_AC&position=18&beaconIssued=2022-03-29T23%3A13%3A12&sort=RECOMMENDED&top_dp=141&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=314396265&selectedRatePlan=383386009&expediaPropertyId=69002572
The People Paris Marais;;0;23 €;17 Boulevard Morland, Paris, 75004;[48.8512232, 2.3625535];11/02/2023;2;https://fr.hotels.com/ho2450792096/the-people-paris-marais-paris-france/?chkin=2023-02-11&chkout=2023-02-12&x_pwa=1&rfrr=HSR&pwa_ts=1648595593632&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=553248635212953197&sort=RECOMMENDED&top_dp=23&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=316362273&selectedRatePlan=385908896&expediaPropertyId=76556003
Hotel Excelsior Republique;3,1;2.0;76 €;4, rue de Lancry, Paris, Paris, 75010;[48.868812, 2.3600579];11/02/2023;2;https://fr.hotels.com/ho283034/hotel-excelsior-republique-paris-france/?chkin=2023-02-11&chkout=2023-02-12&x_pwa=1&rfrr=HSR&pwa_ts=1648595593633&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=553248635212952485&sort=RECOMMENDED&top_dp=76&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=200523962&selectedRatePlan=202786458&expediaPropertyId=565108
