name;grade;stars;prices;address;gps;date;nb_personne;link
Hotel Excelsior Republique;3,1;2.0;141 €;4, rue de Lancry, Paris, Paris, 75010;[48.868812, 2.3600579];11/03/2023;4;https://fr.hotels.com/ho283034/hotel-excelsior-republique-paris-france/?chkin=2023-03-11&chkout=2023-03-12&x_pwa=1&rfrr=HSR&pwa_ts=1648624586153&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2%3Ac9%3Ac4&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=553248635212952485&sort=RECOMMENDED&top_dp=141&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=200523967&selectedRatePlan=202786468&expediaPropertyId=565108
Tonic Hôtel Saint Germain;4,0;3.0;164 €;15 rue des Quatre Vents, Paris, Paris, 75006;[48.8517095, 2.3374122];11/03/2023;4;https://fr.hotels.com/ho459107/tonic-hotel-saint-germain-paris-france/?chkin=2023-03-11&chkout=2023-03-12&x_pwa=1&rfrr=HSR&pwa_ts=1648624586152&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2%3Ac9%3Ac4&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=553248635212952764&sort=RECOMMENDED&top_dp=164&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=200692090&selectedRatePlan=203433775&expediaPropertyId=8250159
Citadines République Paris;3,9;3.0;245 €;75 Bis, Avenue Parmentier, Paris, Paris, 75011;[48.8611455, 2.3778135];11/03/2023;4;https://fr.hotels.com/ho206334/citadines-republique-paris-paris-france/?chkin=2023-03-11&chkout=2023-03-12&x_pwa=1&rfrr=HSR&pwa_ts=1648624586151&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2%3Ac9%3Ac4&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=553248635212953602&sort=RECOMMENDED&top_dp=245&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=210308993&selectedRatePlan=222211625&expediaPropertyId=457360
Maxim Folies;4,5;3.0;283 €;14 Rue Geoffroy-Marie, Paris, Paris, 75009;[48.8737342, 2.3444965];11/03/2023;4;https://fr.hotels.com/ho344248/maxim-folies-paris-france/?chkin=2023-03-11&chkout=2023-03-12&x_pwa=1&rfrr=HSR&pwa_ts=1648624586151&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2%3Ac9%3Ac4&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=553248635212953989&sort=RECOMMENDED&top_dp=283&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=200741785&selectedRatePlan=203684293&expediaPropertyId=691190
Grand Hôtel Magenta;3,1;0;134 €;129 Boulevard De Magenta, Paris, Paris, 75010;[48.8808212, 2.3517544];11/03/2023;4;https://fr.hotels.com/ho317865/grand-hotel-magenta-paris-france/?chkin=2023-03-11&chkout=2023-03-12&x_pwa=1&rfrr=HSR&pwa_ts=1648624586153&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2%3Ac9%3Ac4&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=553248635212953155&sort=RECOMMENDED&top_dp=134&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=200529198&selectedRatePlan=202859322&expediaPropertyId=2690948
Hôtel Du Brabant;;2.0;107 €;18 Rue Des Petits Hotels, Paris, Paris, 75010;[48.8774785, 2.353728];11/03/2023;4;https://fr.hotels.com/ho287326/hotel-du-brabant-paris-france/?chkin=2023-03-11&chkout=2023-03-12&x_pwa=1&rfrr=HSR&pwa_ts=1648624586153&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2%3Ac9%3Ac4&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=553248635212953155&sort=RECOMMENDED&top_dp=107&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=200271603&selectedRatePlan=202795224&expediaPropertyId=2520450
New Hôtel Gare du Nord;3,5;2.0;171 €;40 Rue De Saint Quentin, Paris, Paris, 75010;[48.879539, 2.3560233];11/03/2023;4;https://fr.hotels.com/ho226515/new-hotel-gare-du-nord-paris-france/?chkin=2023-03-11&chkout=2023-03-12&x_pwa=1&rfrr=HSR&pwa_ts=1648624586153&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2%3Ac9%3Ac4&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=553248635212953155&sort=RECOMMENDED&top_dp=171&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=26942&selectedRatePlan=209960119&expediaPropertyId=901150
Disney's Newport Bay Club;3,9;4.0;431 €;Avenue Robert Schuman, Coupvray, Seine-et-Marne, 77700;[48.8630773, 2.7902574];11/03/2023;4;https://fr.hotels.com/ho230007/disney-s-newport-bay-club-coupvray-france/?chkin=2023-03-11&chkout=2023-03-12&x_pwa=1&rfrr=HSR&pwa_ts=1648624586155&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2%3Ac9%3Ac4&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&trackingData=AAAAEEBMNZapqrKwEImhSGQ39CQ7oV_PKrwyfzPBuw0clQZVFZTHCMIGOCYPrkXn--hnjGhkwrqXKRzZNpO3ioxaKrMx8zsb6-jaQC6ZXjpwbDup_qBiI68Lzgc9yOhmNCSpduNV9im6ovUA4d2nxmv9WWXHtJNTm_FO5cPHE_ecQeXW28wV6J3lKGk9VHC5AhvA7xqDAuMAZft21wLR8-DJ0PkehH4ZR1YwBzpI3iuENmRAkSH5TO6CZ3OFanDzwHArVTB6Qw8pcC39h1YQ5cwey4WTovq0O0BxAjmZOZ4JIOF9Zsgky_dX28Nu-ira2p_oiK3NRlloy2WZmtCLMIj2U3XMDosV7WllHwBjmUODZ_Qko_HE-dXZwJwCEpIXQD9T0lNzcONznwI9cH7oZCPflokSgYhsjJheLhdYw8i3Pbsw5E-_qPueBoMFD6xGtzkzvfio8wmYFlOg8OXhivRJJhMIVPFVHRxFLR1kOODT6KDrvnlOqsQ3L00u7KwPTK0pcJaug8rqV-jjoL8qznUIDmB4RoK76VbFJ58CX7cqaY01-SPzhnIte2RXEqLQhLiFZmGbwotXTtdtkVuwiT4mcCLEYJKbrW6GonO6FRHnhulBnlmzIy92GXnHK2rwTe254sBH-T10ZizHE12OaX5t94KD3YMEeBPj-ucPkzALvSnRrY9x-h-iU-EoxJnZU-GHYJ6Q3Ahsz50yEbbP0LgyMnlX9SSVApP4Reks_9ZT3CZ3C1Ph-Wouo6LaPPhzUf3EvWZDJrN3yefATLrzUFIbdERuzV4A6yOtIB_gwLCZax41072BSRhR0bp2RZaQoxa8afaommFl7uEfKpir32oRUFaRRgYLsbZp-pObFyyL6PnTj3Ndl4hmgzftakwkM29Qc85M_xkaIJ-o7AyFpbLEYVM08ePP54RnlVai-OAjEvFHVsFoDrfZGohCuQPZIvAIqDA2s1tokq3iHBj2e5T-rD78i3hA_KXBZIWghuDg73XkaQ8C3hydEPm8D0DQQVttUg%3D%3D&rank=5&testVersionOverride=Buttercup%2C31936.102311.0%2C33775.98848.1%2C38414.114301.0%2C40794.121819.2%2C38427.115718.1%2C42444.123988.0%2C42876.124673.0%2C42973.124182.1%2C42974.123984.1%2C42975.124629.0%2C42976.125426.1%2C42802.125960.1%2C33739.99567.0%2C37898.109354.1%2C37930.119094.0%2C43191.126721.0%2C43435.126644.0&slots=HSR_AC&position=18&beaconIssued=2022-03-30T07%3A16%3A25&sort=RECOMMENDED&top_dp=431&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=202160552&selectedRatePlan=384800750&expediaPropertyId=1102912
Hotel Liège Strasbourg;4,1;2.0;182 €;67 Boulevard de Strasbourg, Paris, Paris, 75010;[48.8737856, 2.3565458];11/03/2023;4;https://fr.hotels.com/ho211978/hotel-liege-strasbourg-paris-france/?chkin=2023-03-11&chkout=2023-03-12&x_pwa=1&rfrr=HSR&pwa_ts=1648624586154&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2%3Ac9%3Ac4&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=553248635212953679&sort=RECOMMENDED&top_dp=182&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=200632679&selectedRatePlan=203042162&expediaPropertyId=1450480
Hôtel Michelet Odeon;4,1;2.0;265 €;6 place de l'Odeon, Paris, 75006;[48.8497541, 2.338212];11/03/2023;4;https://fr.hotels.com/ho591903/hotel-michelet-odeon-paris-france/?chkin=2023-03-11&chkout=2023-03-12&x_pwa=1&rfrr=HSR&pwa_ts=1648624586154&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2%3Ac9%3Ac4&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=553248635212952764&sort=RECOMMENDED&top_dp=265&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=201517092&selectedRatePlan=384217439&expediaPropertyId=15135601
