;name;grade;stars;prices;address;gps;date;nb_personne;link
10;9Hotel Bastille - Lyon;4,3;3.0;116 €;23, Rue de Lyon, Property near Gare de Lyon, Paris, Paris, 75012;;11 septembre 2022;2;https://fr.hotels.com/ho350434/9hotel-bastille-lyon-paris-france/?chkin=2022-09-11&chkout=2022-09-12&x_pwa=1&rfrr=HSR&pwa_ts=1648561779438&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=553248635212953907&sort=RECOMMENDED&top_dp=116&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=213914723&selectedRatePlan=246113007&expediaPropertyId=560198
11;Libertel Gare Du Nord Suede;4,2;3.0;120 €;106 Boulevard Magenta, Paris, Paris, 75010;[48.8780017, 2.3547519];11 septembre 2022;2;https://fr.hotels.com/ho126956/libertel-gare-du-nord-suede-paris-france/?chkin=2022-09-11&chkout=2022-09-12&x_pwa=1&rfrr=HSR&pwa_ts=1648561779438&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=553248635212953155&sort=RECOMMENDED&top_dp=120&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=201212300&selectedRatePlan=206256353&expediaPropertyId=1872
12;Timhotel Paris Gare de Lyon;3,7;3.0;112 €;3 Rue d'Austerlitz, Paris, Paris, 75012;[48.8468041, 2.370162];11 septembre 2022;2;https://fr.hotels.com/ho199594/timhotel-paris-gare-de-lyon-paris-france/?chkin=2022-09-11&chkout=2022-09-12&x_pwa=1&rfrr=HSR&pwa_ts=1648561779440&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=553248635212953907&sort=RECOMMENDED&top_dp=112&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=201505817&selectedRatePlan=207560852&expediaPropertyId=1098400
13;Libertel Montmartre Opéra;4,0;3.0;102 €;32 Rue Duperré, Paris, Paris, 75009;[48.8820719, 2.334511];11 septembre 2022;2;https://fr.hotels.com/ho130479/libertel-montmartre-opera-paris-france/?chkin=2022-09-11&chkout=2022-09-12&x_pwa=1&rfrr=HSR&pwa_ts=1648561779444&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=553248635212957556&sort=RECOMMENDED&top_dp=102&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=315632453&selectedRatePlan=384183881&expediaPropertyId=3703
14;Residhome Paris Opéra;4,1;4.0;161 €;30 Rue Joubert, Paris, Paris, 75009;[48.8747313, 2.3290603];11 septembre 2022;2;https://fr.hotels.com/ho249108/residhome-appart-hotel-paris-opera-paris-france/?chkin=2022-09-11&chkout=2022-09-12&x_pwa=1&rfrr=HSR&pwa_ts=1648561779441&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=553248635212952445&sort=RECOMMENDED&top_dp=161&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=233531&selectedRatePlan=1283460&expediaPropertyId=1584249
15;Hotel Viator Paris - Gare de Lyon;4,1;3.0;113 €;1 Rue Parrot, Paris, Paris, 75012;[48.8468165, 2.3724841];11 septembre 2022;2;https://fr.hotels.com/ho346183/hotel-viator-paris-gare-de-lyon-paris-france/?chkin=2022-09-11&chkout=2022-09-12&x_pwa=1&rfrr=HSR&pwa_ts=1648561779438&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=553248635212953907&sort=RECOMMENDED&top_dp=113&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=498092&selectedRatePlan=201406573&expediaPropertyId=2685852
16;Hotel Tiquetonne;3,6;1.0;79 €;6 Rue Tiquetonne, Paris, 75002;[48.8644617, 2.3495568];11 septembre 2022;2;https://fr.hotels.com/ho543851/hotel-tiquetonne-paris-france/?chkin=2022-09-11&chkout=2022-09-12&x_pwa=1&rfrr=HSR&pwa_ts=1648561779439&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=553248635212958430&sort=RECOMMENDED&top_dp=79&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=201237849&selectedRatePlan=207419450&expediaPropertyId=12067380
17;Holiday Inn Paris Opéra Grands Boulevards, an IHG Hotel;4,3;4.0;236 €;32 Boulevard Poissonniere, Paris, Paris, 75009;[48.8715747, 2.3435478];11 septembre 2022;2;https://fr.hotels.com/ho121945/holiday-inn-paris-opera-grands-boulevards-an-ihg-hotel-paris-france/?chkin=2022-09-11&chkout=2022-09-12&x_pwa=1&rfrr=HSR&pwa_ts=1648561779441&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=553248635212953989&trackingData=AAAAEBfcKnpecD0PqKd2TaJce9JelAkKT6e7UhQfqaQVaS5TrjV5D-6AmoSA2mX67qvb_uUzbGDW9ON8V0UJDJyHpCxPozqPu-rs5jM53l8XUjXFKn4jKsICKSKpDNYYWqgyt-Wqd2qe7zD0ofUIVR-tFb9wy8PpSYbsHgPpUWQFt3Rz_Z0HI6jbwdZ5BhAW-jaNp8Nusb3I1G0p4CPlPCi9HtXLuszvCP_cJwEkmxu6N0XQNwHs-zjeanhfFbFVadgLRd-4bv1W2TKQ91Jbrxh7V086XSwVxxLjXgHP7qO0m1Gworfju5A74bx3c4BOG6H0OpZPHTT2-JOtv6CzGgZkK7rOe8A6aH8o4zQNR2iCqOJI94osnCfr8LEI5wISdmNr6OEeK0MwtMkfdBtNS-zyvyMl8IGbLZKERIT3SVOyKxsfGaZYRRT6IMibzzT6OBBWm4ql--a4fljz8XZyb2PHeMGjqYUIjTqxBru0sEWoW8vNx8lB7X4ls8NP3ii1dFRFMTdErOETndGSvWmKu9rpoBkENQ6eMXBgzjQwPBuO1UyXYJLwgos53oUAWHBi39UfAjq5nAOMXOIro-g6xwk9FdMcRXWCO1D42fGvbrgW8p-Qe-mvqUMGfS44zl1DJwP3MLzvv_qWmw4pNOQEHfnYTHoB9Kt6L-mDa3s1C3KsGgzRR1Dt15RDOiJMr2_rOBw8sBqP8rgdTR0gVceYuMizUGjaxhyyiXznFOlsjAmMlMKIvCv0t8h0xvHos7mFnzqDpyIa4UxdVOIXdEs97UfCqSADl0EWTdd7s61kNucQ_ItAsl6g8QEa7pbG81GlG726VOmzPYjy--kjOTU1CcGRDjs_HJu_SQvWaHPuMqSOtT0inyYlhwx9zk_xuS_XoNrWfE8j34fH4Y2zNLszhIFL-SHglHGfbH1FVB5jm5T6GQ9gMp45FJGkpMp8wcmu1vt6-Z4pVfAqWQPTVaMWPvQoqAQiz3fNAkSxg80dKb_onxd97uA4fsUFNGFT1pG18-s-mg%3D%3D&rank=5&testVersionOverride=Buttercup%2C31936.102311.0%2C33775.98848.1%2C38414.114301.0%2C40794.121819.2%2C38427.115718.5%2C42444.123988.0%2C42876.124673.0%2C42973.124182.1%2C42974.123984.1%2C42975.124629.0%2C42976.125426.1%2C42802.125960.1%2C33739.99567.0%2C37898.109354.1%2C37930.119094.0%2C43191.126721.1%2C43435.126644.1&slots=HSR_AC&position=18&beaconIssued=2022-03-29T13%3A49%3A37&sort=RECOMMENDED&top_dp=236&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=200083506&selectedRatePlan=380280413&expediaPropertyId=19247
18;Chabrol Opéra;3,6;3.0;85 €;46 Rue De Chabrol, Paris, Paris, 75010;[48.8771944, 2.3511106];11 septembre 2022;2;https://fr.hotels.com/ho391643/chabrol-opera-paris-france/?chkin=2022-09-11&chkout=2022-09-12&x_pwa=1&rfrr=HSR&pwa_ts=1648561779442&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=553248635212953155&sort=RECOMMENDED&top_dp=85&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=200541102&selectedRatePlan=209228213&expediaPropertyId=860317
19;Hôtel Gabriel Paris;4,4;4.0;189 €;25, Rue du Grand Prieuré, Paris, Paris, 75011;[48.8660949, 2.3683052];11 septembre 2022;2;https://fr.hotels.com/ho310414/hotel-gabriel-paris-paris-france/?chkin=2022-09-11&chkout=2022-09-12&x_pwa=1&rfrr=HSR&pwa_ts=1648561779441&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=553248635212952757&sort=RECOMMENDED&top_dp=189&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=352387&selectedRatePlan=200939991&expediaPropertyId=2499092
20;Acacia Hotel;3,7;0.0;92 €;30 bis avenue Parmentier, Paris, 75011;[48.8611455, 2.3778135];11 septembre 2022;2;https://fr.hotels.com/ho633071/acacia-hotel-paris-france/?chkin=2022-09-11&chkout=2022-09-12&x_pwa=1&rfrr=HSR&pwa_ts=1648561779443&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=553248635212953602&sort=RECOMMENDED&top_dp=92&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=201709405&selectedRatePlan=208580451&expediaPropertyId=16344343
